1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.25 2.696444758076248e-17 6.618453090116466e-17 18
0.5 1.717279452804931e-16 4.941954384796447e-16 62
0.75 5.044904488234137e-16 1.346648532043791e-15 98
1 1.193230687616629e-15 4.912371012125464e-15 210
1.25 2.35054637375626e-15 1.064489134180526e-14 350
1.5 3.116089849414062e-15 1.901553554954922e-14 450
1.75 4.904769771626833e-15 3.47425451676858e-14 602
2 6.898188452081045e-15 5.004642586569057e-14 762
2.25 1.032307758253645e-14 8.748036200513075e-14 1142
2.5 1.206728544333765e-14 1.063546868784791e-13 1250
2.75 1.446372813337452e-14 1.549237934302152e-13 1458
3 1.786528994905807e-14 2.23689058061849e-13 1814
3.25 2.204627378744739e-14 3.149187257759912e-13 2178
3.5 2.556939729790813e-14 3.929229252109093e-13 2498
3.75 2.739629577429419e-14 4.648889174229787e-13 2622
4 1.663734738787459e-14 3.061830980376603e-13 3191
4.25 3.870290575198214e-32 1.207043815373841e-32 3044
4.5 3.18943703298444e-32 1.350062037557106e-32 2736
4.75 3.755639875599676e-32 1.227472251480402e-32 2276
5 1.918118478708303e-32 9.21872305782521e-33 2016
5.25 2.67333971047344e-32 8.21985257012693e-33 1640
5.5 1.409792379084259e-32 7.802477588190129e-33 1056
5.75 1.962835147283675e-32 4.407219719961791e-33 683
6 4.671067804444216e-33 1.911375488635872e-33 350
6.25 4.380958366201571e-33 1.129528338126636e-33 192
6.5 2.008923492769638e-33 6.366784361951337e-34 44
6.75 6.389914136426562e-34 3.858758812761121e-34 24
7 1.612778249328178e-35 6.66505296916237e-36 1

0.25 5.805349688802648e-18 3.887024560818336e-19 18
0.5 2.336869522614106e-17 2.893621088989066e-18 62
0.75 5.166019260966564e-17 3.335125630515103e-17 98
1 4.801917611167834e-17 1.241206315348613e-16 210
1.25 6.3729377835468e-17 3.271015176659242e-16 350
1.5 1.208396961769183e-16 4.463856551205377e-16 450
1.75 2.143721291871737e-16 6.611438439321144e-16 602
2 2.539465077517248e-16 1.125909318374408e-15 762
2.25 3.791812793426797e-16 1.945814314857358e-15 1142
2.5 4.579088471750173e-16 2.386653617781604e-15 1250
2.75 5.827469147213548e-16 3.245772616500574e-15 1458
3 7.084574281828397e-16 4.883379564758962e-15 1814
3.25 8.285355891929827e-16 7.470116553157362e-15 2178
