1:binCentralValue 2:valuesAverage 3:multiplicity
0.5 0 18
1 0 62
1.5 0 98
2 0 210
2.5 0 350
3 0 450
3.5 0 602
4 0 762
4.5 0 1142
5 0 1250
5.5 0 1458
6 0 1814
6.5 0 2178
7 0 2498
7.5 0 2622
8 0 3338
8.5 0 3722
9 0 4170
9.5 0 4358
10 0 5034
10.5 0 5714
11 0 5982
11.5 0 6602
12 0 7130
12.5 0 8034
13 0 8606
13.5 0 9066
14 0 9962
14.5 0 10550
15 0 11226
15.5 0 12146
16 0 12303
16.5 0 12584
17 0 12120
17.5 0 11180
18 0 11096
18.5 0 10056
19 0 9716
19.5 0 8604
20 0 8060
20.5 0 7320
21 0 6356
21.5 0 5348
22 0 4308
22.5 0 3563
23 0 2448
23.5 0 1868
24 0 1358
24.5 0 1062
25 0 776
25.5 0 432
26 0 200
26.5 0 168
27 0 56
27.5 0 7

0.5 1.706653406990232e-28 18
1 4.028059833068476e-28 62
1.5 9.136671798319144e-28 98
2 1.784690096615971e-27 210
2.5 1.774068709030971e-27 350
3 1.441609096969825e-27 450
3.5 2.034285680993107e-27 602
4 1.664655640855882e-27 762
4.5 1.27805526021385e-27 1142
5 7.957751878716466e-28 1250
5.5 5.495798719251335e-28 1458
6 3.340206554493949e-28 1814
6.5 1.716213542214313e-28 2178
7 5.755436699528632e-29 2498
7.5 1.065083375981931e-29 2622
8 3.840935017563425e-31 3338
8.5 4.606077321317754e-41 3722
9 2.556754811231815e-41 4170
9.5 1.134377826322796e-41 4358
10 4.19791823759651e-42 5034
10.5 1.302092185847602e-42 5714
11 2.919704387277982e-43 5982
11.5 1.160060109722438e-43 6602
12 1.195252525471444e-43 7130
12.5 1.583022740578541e-43 8034
13 2.050760836711386e-43 8606
13.5 2.381812695296096e-43 9066
14 2.958614640517772e-43 9962
14.5 3.536052059330885e-43 10550
15 4.300460899349133e-43 11226
15.5 5.370198400976569e-43 12146
16 5.724960300744437e-43 12303
16.5 6.354281225592278e-43 12584
17 6.480028059298162e-43 12120
17.5 6.325627106337581e-43 11180
18 6.66411986149108e-43 11096
18.5 6.439687617201123e-43 10056
19 6.547338243109231e-43 9716
19.5 6.11773148192579e-43 8604
20 6.177659597072354e-43 8060
20.5 6.175827746937853e-43 7320
21 5.92117291064765e-43 6356
21.5 5.475026894190591e-43 5348
22 4.539168508400874e-43 4308
22.5 3.882299366434675e-43 3563
23 2.758166655485072e-43 2448
23.5 2.233810188122111e-43 1868
24 1.68091602447095e-43 1358
24.5 1.288776710784312e-43 1062
25 9.60591992043502e-44 776
25.5 5.561474357952947e-44 432
26 3.162424336960916e-44 200
26.5 3.030527397318662e-44 168
27 1.26573775570382e-44 56
27.5 5.567869262587635e-46 7

0.5 2.967528257182908e-28 18
1 6.210222512467256e-28 62
1.5 1.067938641150185e-27 98
2 1.734970356616898e-27 210
2.5 2.709718264256789e-27 350
3 2.917637155913017e-27 450
3.5 2.74527056495548e-27 602
4 1.950435348303524e-27 762
4.5 1.736614141407985e-27 1142
5 1.206306902230578e-27 1250
5.5 8.936223767130325e-28 1458
6 6.241366953520429e-28 1814
6.5 2.692744636018901e-28 2178
7 8.8028944666411e-29 2498
7.5 1.456954579440242e-29 2622
8 4.050030456106328e-31 3338
8.5 6.95803739572628e-41 3722
9 4.523705366558313e-41 4170
9.5 2.482554736681616e-41 4358
10 1.11793340780774e-41 5034
10.5 4.105730607705996e-42 5714
11 9.448215947428196e-43 5982
11.5 2.135770605045724e-43 6602
12 1.764965178782437e-43 7130
12.5 2.343391810341667e-43 8034
13 2.91670401628279e-43 8606
13.5 3.511584356392647e-43 9066
14 4.203463304696825e-43 9962
14.5 5.287615820384064e-43 10550
15 6.381796372550138e-43 11226
15.5 7.673901959701614e-43 12146
16 8.343501022243511e-43 12303
16.5 9.060294454926264e-43 12584
17 9.341812962911271e-43 12120
17.5 9.231263581813872e-43 11180
18 9.432785525807743e-43 11096
