1:binCentralValue 2:valuesAverage 3:multiplicity
0.25 0 18
0.5 0 62
0.75 0 98
1 0 210
1.25 0 350
1.5 0 450
1.75 0 602
2 0 762
2.25 0 1142
2.5 0 1250
2.75 0 1458
3 0 1814
3.25 0 2178
3.5 0 2498
3.75 0 2622
4 0 3338
4.25 0 3722
4.5 0 4170
4.75 0 4358
5 0 5034
5.25 0 5714
5.5 0 5982
5.75 0 6602
6 0 7130
6.25 0 8034
6.5 0 8606
6.75 0 9066
7 0 9962
7.25 0 10550
7.5 0 11226
7.75 0 12146
8 0 12606
8.25 0 13802
8.5 0 14754
8.75 0 15194
9 0 16454
9.25 0 17154
9.5 0 18266
9.75 0 18750
10 0 20234
10.25 0 21450
10.5 0 21962
10.75 0 23462
11 0 24042
11.25 0 25946
11.5 0 26118
11.75 0 27506
12 0 28631
12.25 0 28596
12.5 0 27848
12.75 0 26544
13 0 26456
13.25 0 25284
13.5 0 24260
13.75 0 23312
14 0 22368
14.25 0 21872
14.5 0 20400
14.75 0 19040
15 0 18252
15.25 0 16760
15.5 0 15776
15.75 0 13704
16 0 13112
16.25 0 11652
16.5 0 9776
16.75 0 8448
17 0 7013
17.25 0 5546
17.5 0 4722
17.75 0 3782
18 0 3174
18.25 0 2582
18.5 0 1928
18.75 0 1662
19 0 1256
19.25 0 864
19.5 0 428
19.75 0 456
20 0 248
20.25 0 104
20.5 0 18
20.75 0 7

0.25 7.426916162039429e-30 18
0.5 1.564412562951249e-28 62
0.75 6.419392185488591e-28 98
1 5.45060613816008e-28 210
1.25 7.802487933978861e-28 350
1.5 1.304131934967711e-27 450
1.75 4.345893634402833e-28 602
2 1.490505020438679e-27 762
2.25 1.711744572511269e-27 1142
2.5 1.344266287875359e-27 1250
2.75 2.335739569328732e-27 1458
3 1.123532560337173e-27 1814
3.25 2.110176829330974e-27 2178
3.5 2.738648895809076e-27 2498
3.75 1.132479526053708e-27 2622
4 2.063189532873765e-27 3338
4.25 1.833623908416762e-27 3722
4.5 1.059458504272773e-27 4170
4.75 1.38145268359457e-27 4358
5 9.77749072193268e-28 5034
5.25 6.580863221347522e-28 5714
5.5 6.470515687554161e-28 5982
5.75 4.445280935437646e-28 6602
6 3.340919638487456e-28 7130
6.25 2.822225881274293e-28 8034
6.5 1.868653453384103e-28 8606
6.75 1.235294226280977e-28 9066
7 7.359538906602795e-29 9962
7.25 3.818019893356981e-29 10550
7.5 1.727075499568879e-29 11226
7.75 5.178614172113488e-30 12146
8 1.928703908133386e-31 12606
8.25 8.202305504554379e-41 13802
8.5 6.810018168936813e-41 14754
8.75 5.469289739249916e-41 15194
9 4.80008329703593e-41 16454
9.25 3.83702135086057e-41 17154
9.5 3.043813224229741e-41 18266
9.75 2.289284820408328e-41 18750
10 1.800096109551804e-41 20234
10.25 1.304852199180265e-41 21450
10.5 8.353672888140974e-42 21962
10.75 5.277449893971056e-42 23462
11 2.769819330229079e-42 24042
11.25 1.266845462855667e-42 25946
11.5 5.231734404564755e-43 26118
11.75 3.496451830367607e-43 27506
12 3.428785809506145e-43 28631
12.25 3.580590959179567e-43 28596
12.5 3.677267585008907e-43 27848
12.75 3.637171899767936e-43 26544
13 3.838218897014473e-43 26456
13.25 3.775248532056368e-43 25284
13.5 3.72803508620314e-43 24260
13.75 3.687041112187278e-43 23312
14 3.788452755152105e-43 22368
14.25 3.848017589978974e-43 21872
