1:binCentralValue 2:valuesAverage 3:multiplicity
0.707107 0 18
1.41421 0 62
2.12132 0 98
2.82843 0 210
3.53554 0 350
4.24264 0 450
4.94975 0 602
5.65686 0 762
6.36396 0 1142
7.07107 0 1250
7.77818 0 1458
8.48528 0 1814
9.19239 0 2178
9.8995 0 2498
10.6066 0 2622
11.3137 0 3338
12.0208 0 3722
12.7279 0 4170
13.435 0 4358
14.1421 0 5034
14.8492 0 5714
15.5564 0 5982
16.2635 0 6602
16.9706 0 7130
17.6777 0 8034
18.3848 0 8606
19.0919 0 9066
19.799 0 9962
20.5061 0 10550
21.2132 0 11226
21.9203 0 12146
22.6274 0 12303
23.3345 0 12584
24.0416 0 12120
24.7487 0 11180
25.4559 0 11096
26.163 0 10056
26.8701 0 9716
27.5772 0 8604
28.2843 0 8060
28.9914 0 7320
29.6985 0 6356
30.4056 0 5348
31.1127 0 4308
31.8198 0 3563
32.5269 0 2448
33.234 0 1868
33.9411 0 1358
34.6482 0 1062
35.3554 0 776
36.0625 0 432
36.7696 0 200
37.4767 0 168
38.1838 0 56
38.8909 0 7

0.707107 3.317999679591185e-28 18
1.41421 7.52103454919802e-28 62
2.12132 2.376574743866192e-27 98
2.82843 5.82529607457853e-27 210
3.53554 5.860102313747277e-27 350
4.24264 8.740407417071992e-27 450
4.94975 4.338165745497818e-27 602
5.65686 2.398750376930841e-27 762
6.36396 7.89845133891906e-27 1142
7.07107 3.535638708352617e-27 1250
7.77818 4.708221068445477e-27 1458
8.48528 1.974088427122523e-27 1814
9.19239 1.062463179504117e-27 2178
9.8995 6.520290413443667e-29 2498
10.6066 8.63294415941931e-30 2622
11.3137 3.858810206270144e-31 3338
12.0208 6.903189732506876e-40 3722
12.7279 1.952818448687465e-40 4170
13.435 5.60654344004425e-41 4358
14.1421 2.255023267745946e-41 5034
14.8492 1.152675458022292e-41 5714
15.5564 2.788289752699525e-42 5982
16.2635 7.127426738403706e-43 6602
16.9706 3.546906625161076e-43 7130
17.6777 4.867312546797739e-43 8034
18.3848 6.124280283989908e-43 8606
19.0919 7.325191876360369e-43 9066
19.799 9.214404534041162e-43 9962
20.5061 1.044950299723418e-42 10550
21.2132 1.215793017085339e-42 11226
21.9203 1.44861569677901e-42 12146
22.6274 1.573014885261964e-42 12303
23.3345 1.66230524934167e-42 12584
24.0416 1.589779059910859e-42 12120
24.7487 1.475104716454544e-42 11180
25.4559 1.502833582503976e-42 11096
26.163 1.419852026359011e-42 10056
26.8701 1.410295328530104e-42 9716
27.5772 1.308605758175589e-42 8604
28.2843 1.290929867543618e-42 8060
28.9914 1.280793459527352e-42 7320
29.6985 1.188466105324054e-42 6356
30.4056 1.11421756483167e-42 5348
31.1127 9.269838438202035e-43 4308
31.8198 8.140858930593897e-43 3563
32.5269 5.861354330757473e-43 2448
33.234 4.521585294788728e-43 1868
33.9411 3.305684681212688e-43 1358
34.6482 2.722760828943798e-43 1062
35.3554 2.057067353400283e-43 776
36.0625 1.235232536729748e-43 432
36.7696 6.455109859697189e-44 200
37.4767 4.976460941996644e-44 168
38.1838 1.751363832508127e-44 56
38.8909 9.620295525753308e-46 7

0.707107 7.457508651325799e-28 18
1.41421 1.005815983696625e-27 62
2.12132 2.699433557560278e-27 98
2.82843 1.294748002460636e-26 210
3.53554 1.466405792721594e-26 350
4.24264 7.036299310431792e-27 450
4.94975 3.770891867602239e-27 602
5.65686 5.876084868287639e-27 762
6.36396 1.408852867825383e-26 1142
7.07107 9.540021752370945e-27 1250
7.77818 5.038679220863712e-27 1458
8.48528 2.240865888084022e-27 1814
9.19239 1.383011276925535e-27 2178
9.8995 2.385967605923048e-28 2498
10.6066 1.26713775544338e-29 2622
11.3137 3.277603364072732e-31 3338
12.0208 1.956932037592379e-39 3722
12.7279 6.37988212476645e-40 4170
13.435 1.928975383844985e-40 4358
14.1421 6.312146415979042e-41 5034
14.8492 1.991173150832766e-41 5714
15.5564 4.438670450480665e-42 5982
16.2635 9.600435097624714e-43 6602
16.9706 6.540187066791725e-43 7130
17.6777 8.522229704143206e-43 8034
18.3848 1.201740469086068e-42 8606
19.0919 1.621340241572703e-42 9066
19.799 1.952321224249582e-42 9962
20.5061 2.215460173174632e-42 10550
21.2132 2.574112763332419e-42 11226
21.9203 3.078298243965522e-42 12146
22.6274 3.317499534351969e-42 12303
23.3345 3.45197248071574e-42 12584
24.0416 3.296117174774985e-42 12120
24.7487 2.979931288828012e-42 11180
25.4559 3.079237355913643e-42 11096
26.163 2.849398367814e-42 10056
26.8701 2.795187028056219e-42 9716
27.5772 2.539325595963306e-42 8604
28.2843 2.473182576573723e-42 8060
28.9914 2.360335367832651e-42 7320
29.6985 2.137104702057118e-42 6356
30.4056 1.909434334149016e-42 5348
31.1127 1.629498969011854e-42 4308
31.8198 1.413433855614038e-42 3563
32.5269 1.003986206729016e-42 2448
33.234 7.822497117473557e-43 1868
33.9411 5.677884950678016e-43 1358
34.6482 4.813683845379913e-43 1062
35.3554 3.135093935958963e-43 776
36.0625 2.174170115057955e-43 432
36.7696 9.989747786811899e-44 200
37.4767 8.921978383505776e-44 168
38.1838 3.046950326350255e-44 56
38.8909 2.709020254624126e-45 7

0.707107 5.095162438725896e-28 18
1.41421 1.278740496203417e-27 62
2.12132 4.129636808373978e-27 98
2.82843 1.023513964281182e-26 210
3.53554 1.316939475999229e-26 350
4.24264 7.226657023275377e-27 450
4.94975 8.965194893644854e-27 602
5.65686 2.152797991872257e-26 762
6.36396 1.491293576238908e-26 1142
7.07107 7.852625607360215e-27 1250
7.77818 3.751049009608743e-27 1458
8.48528 2.037793813406959e-27 1814
9.19239 1.228128900834394e-27 2178
9.8995 1.712362378089719e-28 2498
10.6066 1.015166295992284e-29 2622
11.3137 2.82557663263275e-31 3338
12.0208 1.55785363309395e-39 3722
12.7279 4.843023799801026e-40 4170
13.435 1.383972356350811e-40 4358
14.1421 4.453451441611745e-41 5034
14.8492 1.377087587094056e-41 5714
15.5564 3.325379664791118e-42 5982
16.2635 1.142575487666158e-42 6602
16.9706 8.682303875612429e-43 7130
17.6777 1.266663444527919e-42 8034
18.3848 1.918606842472895e-42 8606
19.0919 2.360013242539464e-42 9066
19.799 2.724976792146372e-42 9962
20.5061 2.947435658119531e-42 10550
21.2132 3.530650074334837e-42 11226
21.9203 3.97914377489323e-42 12146
22.6274 4.198247342985431e-42 12303
23.3345 4.37502852851806e-42 12584
24.0416 3.81735217240913e-42 12120
24.7487 3.239287418842209e-42 11180
25.4559 3.134784327480847e-42 11096
26.163 2.774055002344716e-42 10056
26.8701 2.595156602565189e-42 9716
27.5772 2.229081293898186e-42 8604
28.2843 2.075387719521429e-42 8060
28.9914 1.976984752847364e-42 7320
29.6985 1.72477308272063e-42 6356
30.4056 1.525968104120505e-42 5348
31.1127 1.270161151228917e-42 4308
31.8198 1.118845017149742e-42 3563
32.5269 7.758781499363932e-43 2448
33.234 6.192280243608957e-43 1868
33.9411 4.487568041377439e-43 1358
34.6482 3.695670582816969e-43 1062
35.3554 2.681776247937216e-43 776
36.0625 1.62558578931366e-43 432
36.7696 7.402164141001009e-44 200
37.4767 6.772884728896119e-44 168
38.1838 2.629122815226558e-44 56
38.8909 1.009376562475335e-45 7

0.707107 2.859078647265092e-27 18
1.41421 1.390853040095947e-26 62
2.12132 1.241527031104071e-26 98
2.82843 4.676018187097655e-26 210
3.53554 1.181912828332328e-25 350
4.24264 7.709248618617063e-26 450
4.94975 1.031924318808449e-25 602
5.65686 9.891145794364771e-26 762
6.36396 2.740377905308797e-26 1142
7.07107 9.178070750338563e-27 1250
7.77818 5.102974265467351e-27 1458
8.48528 2.35050107588658e-27 1814
9.19239 1.280478445179678e-27 2178
9.8995 2.156603765244363e-28 2498
10.6066 1.148812969646663e-29 2622
11.3137 3.650716793745612e-31 3338
12.0208 2.274608970946426e-39 3722
12.7279 6.163658295201789e-40 4170
13.435 1.710548550751962e-40 4358
14.1421 5.877930045059145e-41 5034
14.8492 1.924846979840953e-41 5714
15.5564 4.974757967489381e-42 5982
16.2635 1.995096137801524e-42 6602
16.9706 1.723780183234547e-42 7130
17.6777 2.623360508843848e-42 8034
18.3848 3.666663629030174e-42 8606
19.0919 4.350787698309887e-42 9066
19.799 5.272750047356217e-42 9962
20.5061 5.902751168236539e-42 10550
21.2132 7.004284467548573e-42 11226
21.9203 7.822406111301893e-42 12146
22.6274 8.237171747382278e-42 12303
23.3345 8.024071558175139e-42 12584
24.0416 6.962271717212825e-42 12120
24.7487 5.559902624600139e-42 11180
25.4559 5.107284040909541e-42 11096
26.163 4.446319822748967e-42 10056
26.8701 4.02611058290242e-42 9716
27.5772 3.406149331560547e-42 8604
28.2843 3.012037205945587e-42 8060
28.9914 2.821966547726035e-42 7320
29.6985 2.452341848901693e-42 6356
30.4056 2.132838774684309e-42 5348
31.1127 1.796962245869033e-42 4308
31.8198 1.51308302664522e-42 3563
32.5269 1.056577903402518e-42 2448
33.234 8.414984062713138e-43 1868
33.9411 6.094163693640595e-43 1358
34.6482 5.20023227351781e-43 1062
35.3554 3.714597763191902e-43 776
36.0625 2.336612890356067e-43 432
36.7696 8.789495802885218e-44 200
37.4767 9.137980380017189e-44 168
38.1838 2.797320467412856e-44 56
38.8909 1.409052544614588e-45 7

0.707107 3.678873276033308e-27 18
1.41421 3.360515695266654e-26 62
2.12132 2.177501847650889e-25 98
2.82843 4.237346124588414e-25 210
3.53554 5.542963726118626e-26 350
4.24264 1.073264432065089e-25 450
4.94975 3.67285066234938e-25 602
5.65686 2.380339699429756e-25 762
6.36396 2.860867478428626e-26 1142
7.07107 7.293308807693303e-27 1250
7.77818 4.166828849348823e-27 1458
8.48528 2.225024448615437e-27 1814
9.19239 1.228382262934206e-27 2178
9.8995 2.069831716334897e-28 2498
10.6066 1.096308653794459e-29 2622
11.3137 3.203812954955294e-31 3338
12.0208 3.223586271272975e-39 3722
12.7279 6.963040708760253e-40 4170
13.435 1.791728368899635e-40 4358
14.1421 5.708783081030539e-41 5034
14.8492 1.956502917518648e-41 5714
15.5564 6.360781338190323e-42 5982
16.2635 4.099424887142893e-42 6602
16.9706 4.200418930926788e-42 7130
17.6777 5.471445097806976e-42 8034
18.3848 7.953563828437382e-42 8606
19.0919 1.052818194862374e-41 9066
19.799 1.18241357810292e-41 9962
20.5061 1.360582292396746e-41 10550
21.2132 1.600118990978701e-41 11226
21.9203 1.878142042793542e-41 12146
22.6274 1.902723944470908e-41 12303
23.3345 1.829503974219186e-41 12584
24.0416 1.484582133561375e-41 12120
24.7487 1.206531406525419e-41 11180
25.4559 1.055642027616516e-41 11096
26.163 8.701837840037464e-42 10056
26.8701 7.228980469365648e-42 9716
27.5772 5.658606090236654e-42 8604
28.2843 4.7661029924729e-42 8060
28.9914 4.26442256138522e-42 7320
29.6985 3.61073683199564e-42 6356
30.4056 3.047287164655769e-42 5348
31.1127 2.458947302791949e-42 4308
31.8198 2.060612305598394e-42 3563
32.5269 1.425513887743208e-42 2448
33.234 1.091491805378056e-42 1868
33.9411 8.272365663638766e-43 1358
34.6482 6.703647161997827e-43 1062
35.3554 4.628005120179303e-43 776
36.0625 2.842951765622605e-43 432
36.7696 1.223082793289548e-43 200
37.4767 1.18808798347025e-43 168
38.1838 3.193556397479661e-44 56
38.8909 2.867979490969196e-45 7

0.707107 7.373832574855034e-26 18
1.41421 2.596818181258481e-25 62
2.12132 1.46687512427375e-25 98
2.82843 2.254329459682263e-24 210
3.53554 7.13876059851578e-24 350
4.24264 5.046262640252342e-24 450
4.94975 5.385734408293274e-24 602
5.65686 1.360822638136863e-24 762
6.36396 4.803295737768437e-26 1142
7.07107 7.401546913995919e-27 1250
7.77818 4.326119743894282e-27 1458
8.48528 2.156696788705571e-27 1814
9.19239 1.406652732329869e-27 2178
9.8995 1.902051445695017e-28 2498
10.6066 9.971522681669184e-30 2622
11.3137 3.533082937918388e-31 3338
12.0208 1.633688941884539e-38 3722
12.7279 1.965009456320561e-39 4170
13.435 3.747646471734011e-40 4358
14.1421 8.578148957640739e-41 5034
14.8492 2.846761113780106e-41 5714
15.5564 1.182694895472641e-41 5982
16.2635 8.859850796947243e-42 6602
16.9706 1.023871447608979e-41 7130
17.6777 1.447101552409659e-41 8034
18.3848 2.309095006262468e-41 8606
19.0919 2.938994266503155e-41 9066
19.799 3.385527018894188e-41 9962
20.5061 3.938468855929514e-41 10550
21.2132 4.915295883667775e-41 11226
21.9203 5.741322230223681e-41 12146
22.6274 6.086234193164859e-41 12303
23.3345 6.184939036137924e-41 12584
24.0416 5.692727642423669e-41 12120
24.7487 4.936198555841588e-41 11180
