1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.707107 7.027728948597042 0 18
1.41421 24.13514843770069 0 62
2.12132 38.4775063750244 0 98
2.82843 74.37507767064568 0 210
3.53554 102.7363061338861 0 350
4.24264 123.674848317422 0 450
4.94975 144.4020950312448 0 602
5.65686 79.58713844035697 0 762
6.36396 1.290124330657063e-12 0 1142
7.07107 9.287212471213481e-13 0 1250
7.77818 7.270020609413108e-13 0 1458
8.48528 4.928767211782999e-13 0 1814
9.19239 3.092833771301866e-13 0 2178
9.8995 1.415991870816931e-13 0 2498
10.6066 3.622212925073148e-14 0 2622
11.3137 1.737843286727677e-15 0 3338
12.0208 1.547520175105781e-20 0 3722
12.7279 1.629627601564797e-20 0 4170
13.435 1.727103832608563e-20 0 4358
14.1421 1.923121035313115e-20 0 5034
14.8492 2.165154155153023e-20 0 5714
15.5564 2.276625456203052e-20 0 5982
16.2635 2.308851575809848e-20 0 6602
16.9706 2.55684829829397e-20 0 7130
17.6777 2.766798223654669e-20 0 8034
18.3848 2.970414303112516e-20 0 8606
19.0919 3.099536693764667e-20 0 9066
19.799 3.377749645418708e-20 0 9962
20.5061 3.476016804034738e-20 0 10550
21.2132 3.659788840245602e-20 0 11226
21.9203 4.054598508002486e-20 0 12146
22.6274 4.035851389179449e-20 0 12303
23.3345 4.14299883779265e-20 0 12584
24.0416 3.782390088679183e-20 0 12120
24.7487 3.418569268944254e-20 0 11180
25.4559 3.300010233082977e-20 0 11096
26.163 2.927507842859334e-20 0 10056
26.8701 2.815101166452795e-20 0 9716
27.5772 2.436143527603712e-20 0 8604
28.2843 2.354742508072157e-20 0 8060
28.9914 2.095700252891088e-20 0 7320
29.6985 1.793176843346529e-20 0 6356
30.4056 1.488417708133418e-20 0 5348
31.1127 1.187973340977877e-20 0 4308
31.8198 9.669253376687127e-21 0 3563
32.5269 6.633633580189529e-21 0 2448
33.234 5.041904093627578e-21 0 1868
33.9411 3.742263389914008e-21 0 1358
34.6482 2.90968548696936e-21 0 1062
35.3554 2.149180964509197e-21 0 776
36.0625 1.031652044942211e-21 0 432
36.7696 5.161684467940411e-22 0 200
37.4767 4.582233286123636e-22 0 168
38.1838 1.713222151280863e-22 0 56
38.8909 1.653169892914701e-23 0 7

0.707107 0.007421894766214875 8.547376724149438e-15 18
1.41421 0.204717641031748 4.844747828538994e-14 62
2.12132 1.508608050346131 2.089582603225736e-13 98
2.82843 9.466486274105183 1.005215995480295e-12 210
3.53554 30.15448402291025 3.358062330244866e-12 350
4.24264 62.35126718547582 5.03859906210137e-12 450
4.94975 61.08162080323271 4.669431308861535e-12 602
5.65686 14.00996745145653 3.236765264689175e-12 762
6.36396 3.987793197856406e-11 3.799614253747263e-12 1142
7.07107 3.203876168529084e-11 3.074033600343616e-12 1250
7.77818 2.089158702287703e-11 1.216356995843019e-12 1458
8.48528 1.268763472964955e-11 5.45437908116723e-13 1814
9.19239 9.28115326492053e-12 2.48027866955467e-13 2178
9.8995 2.931793406847399e-12 2.568475326854527e-14 2498
10.6066 9.060255061017459e-13 7.275062383342237e-15 2622
11.3137 5.272491446813074e-14 4.892968258109511e-17 3338
12.0208 5.904649214077928e-17 1.242804244398469e-18 3722
12.7279 7.270837297670052e-17 1.527877618084665e-18 4170
13.435 8.182048025077117e-17 1.839773037794137e-18 4358
14.1421 1.063914732091544e-16 2.233251783345711e-18 5034
14.8492 1.183263656410351e-16 2.744352622846071e-18 5714
15.5564 1.311518971366558e-16 3.111520507907633e-18 5982
16.2635 1.563162400044428e-16 3.760846981548031e-18 6602
16.9706 1.689288908007806e-16 4.308499760587756e-18 7130
17.6777 2.067626977698603e-16 5.037750030143096e-18 8034
18.3848 2.240993110790899e-16 5.626784432288e-18 8606
19.0919 2.389505779260701e-16 6.275799255018873e-18 9066
19.799 2.810908193616135e-16 7.123571678444628e-18 9962
20.5061 3.014071094194176e-16 8.072413258402352e-18 10550
21.2132 3.387506071931511e-16 8.947874487647188e-18 11226
21.9203 3.772299457179926e-16 1.001288673375337e-17 12146
22.6274 3.86613088565805e-16 1.062688109782249e-17 12303
23.3345 3.968825791506764e-16 1.14404301161142e-17 12584
24.0416 3.971593083729456e-16 1.143498744539384e-17 12120
24.7487 3.590935363244315e-16 1.114292770891627e-17 11180
25.4559 3.705115324718125e-16 1.142144867680294e-17 11096
26.163 3.549743269757561e-16 1.084338168203438e-17 10056
26.8701 3.54300953251106e-16 1.088365616043284e-17 9716
