1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.707107 4.418904189351398e-16 2.682464511621195e-15 18
1.41421 2.998245026900709e-15 3.122738823449192e-14 62
2.12132 4.427698479804391e-15 6.445220292179802e-14 98
2.82843 1.437205289624708e-14 2.213732785379e-13 210
3.53554 2.597154665143963e-14 4.933842214660485e-13 350
4.24264 3.233720190769531e-14 8.484539100668952e-13 450
4.94975 4.377734621314311e-14 1.362188530309975e-12 602
5.65686 2.496096720966561e-14 8.909759109530983e-13 762
6.36396 3.280160831566122e-33 4.046195842105704e-33 1142
7.07107 1.278124005764554e-32 3.903487957570339e-33 1250
7.77818 4.172573907374739e-33 5.566042637749697e-33 1458
8.48528 2.36013532991548e-32 1.501895125868312e-32 1814
9.19239 6.814315747962967e-33 8.909692917674522e-33 2178
9.8995 8.107770297167946e-33 4.947784099324024e-33 2498
10.6066 1.127755445624263e-32 5.486519969341721e-33 2622
11.3137 1.030835624822767e-32 9.517022032621024e-33 3338
12.0208 1.410027230072487e-32 1.475895485258944e-32 3722
12.7279 1.274435093524796e-32 1.055510187918002e-32 4170
13.435 1.097648684572485e-32 1.53471504384294e-32 4358
14.1421 3.325263572804109e-32 1.82611840067633e-32 5034
14.8492 1.644712705613497e-32 1.685347875481738e-32 5714
15.5564 1.999927939859106e-32 2.002774374077497e-32 5982
16.2635 2.299432958023883e-32 1.957970238042159e-32 6602
16.9706 1.805395812980943e-32 1.821270593752498e-32 7130
17.6777 2.46268450610174e-32 2.243044507764547e-32 8034
18.3848 2.947975172152883e-32 2.31971617722707e-32 8606
19.0919 2.545033378232765e-32 2.681228394539543e-32 9066
19.799 5.530275934816638e-32 3.05545310670104e-32 9962
20.5061 3.7890696862723e-32 2.746469534929173e-32 10550
21.2132 3.701484708083689e-32 3.808690146609159e-32 11226
21.9203 4.622744528715921e-32 4.49842813795972e-32 12146
22.6274 3.598271501666716e-32 3.237232295306068e-32 12303
23.3345 3.830620725235361e-32 3.510171723994759e-32 12584
24.0416 3.652395231996757e-32 2.909256337376724e-32 12120
24.7487 3.098948885426665e-32 2.697110950042469e-32 11180
25.4559 3.111194583442715e-32 2.71600956825756e-32 11096
26.163 2.431204446499663e-32 2.281282374059068e-32 10056
26.8701 2.786329705640261e-32 2.26447345401032e-32 9716
27.5772 2.50110959465211e-32 1.924729602078323e-32 8604
28.2843 1.88352397327679e-32 1.87644275853614e-32 8060
28.9914 2.080432988935648e-32 1.811639114890991e-32 7320
29.6985 1.543630241297425e-32 1.525462480578611e-32 6356
30.4056 2.243873772420824e-32 1.285545941644512e-32 5348
31.1127 1.088979515025981e-32 8.81337239495897e-33 4308
31.8198 1.157437903940587e-32 8.292058964955863e-33 3563
32.5269 5.905698227182065e-33 5.379666199003653e-33 2448
33.234 4.451802385709806e-33 3.641853001016907e-33 1868
33.9411 3.650910260601495e-33 3.105447679939131e-33 1358
34.6482 2.697419036487468e-33 2.298331968896988e-33 1062
35.3554 2.149890259247085e-33 1.689291712237671e-33 776
36.0625 1.168514081140873e-33 1.011768201590003e-33 432
36.7696 9.340226370966319e-34 7.998681790682825e-34 200
37.4767 7.302575144618833e-34 6.288172180103352e-34 168
38.1838 3.376687226332053e-34 2.630796766692098e-34 56
38.8909 1.627063419679004e-34 9.570915018173428e-35 7

