1:binCentralValue 2:valuesAverage 3:multiplicity
0.707107 0 18
1.41421 0 62
2.12132 0 98
2.82843 0 210
3.53554 0 350
4.24264 0 450
4.94975 0 602
5.65686 0 762
6.36396 0 1142
7.07107 0 1250
7.77818 0 1458
8.48528 0 1814
9.19239 0 2178
9.8995 0 2498
10.6066 0 2622
11.3137 0 3338
12.0208 0 3722
12.7279 0 4170
13.435 0 4358
14.1421 0 5034
14.8492 0 5714
15.5564 0 5982
16.2635 0 6602
16.9706 0 7130
17.6777 0 8034
18.3848 0 8606
19.0919 0 9066
19.799 0 9962
20.5061 0 10550
21.2132 0 11226
21.9203 0 12146
22.6274 0 12303
23.3345 0 12584
24.0416 0 12120
24.7487 0 11180
25.4559 0 11096
26.163 0 10056
26.8701 0 9716
27.5772 0 8604
28.2843 0 8060
28.9914 0 7320
29.6985 0 6356
30.4056 0 5348
31.1127 0 4308
31.8198 0 3563
32.5269 0 2448
33.234 0 1868
33.9411 0 1358
34.6482 0 1062
35.3554 0 776
36.0625 0 432
36.7696 0 200
37.4767 0 168
38.1838 0 56
38.8909 0 7

0.707107 8.322745562347763e-28 18
1.41421 5.452328953288323e-27 62
2.12132 5.298500302762416e-27 98
2.82843 2.015783296379073e-26 210
3.53554 4.443064361638049e-26 350
4.24264 4.872836679166974e-26 450
4.94975 3.767404325420413e-26 602
5.65686 4.627795002404056e-26 762
6.36396 6.944077730795393e-26 1142
7.07107 6.362271243148992e-26 1250
7.77818 3.491620621678664e-26 1458
8.48528 4.136020594021907e-26 1814
9.19239 3.39765204883254e-26 2178
9.8995 1.068434263082572e-26 2498
10.6066 3.104097081721766e-27 2622
11.3137 6.832685642619314e-29 3338
12.0208 5.750373617955341e-39 3722
12.7279 3.162605495075703e-39 4170
13.435 1.412799001411799e-39 4358
14.1421 6.537991404203507e-40 5034
14.8492 2.400500507874776e-40 5714
15.5564 5.040957209906608e-41 5982
16.2635 5.152179416709605e-42 6602
16.9706 5.991580477183193e-43 7130
17.6777 7.42308428667578e-43 8034
18.3848 9.516896690045335e-43 8606
19.0919 1.152122916210517e-42 9066
19.799 1.466390667729741e-42 9962
20.5061 1.734961622909887e-42 10550
21.2132 1.917927111064473e-42 11226
21.9203 2.312558369796354e-42 12146
22.6274 2.460013520368007e-42 12303
23.3345 2.543642997116164e-42 12584
24.0416 2.492346347802242e-42 12120
24.7487 2.222116545644817e-42 11180
25.4559 2.221036794505303e-42 11096
26.163 2.135898732417063e-42 10056
26.8701 2.113749637506085e-42 9716
27.5772 1.97329470088063e-42 8604
28.2843 1.93603513062586e-42 8060
28.9914 1.83964853094235e-42 7320
29.6985 1.71082187582896e-42 6356
30.4056 1.551603875130268e-42 5348
31.1127 1.353253111006722e-42 4308
31.8198 1.127921603305892e-42 3563
32.5269 8.275788774695955e-43 2448
33.234 6.398291230819442e-43 1868
33.9411 4.757733267042926e-43 1358
34.6482 3.514195179294091e-43 1062
35.3554 2.777087150748138e-43 776
36.0625 1.911967599585797e-43 432
36.7696 8.169654003196591e-44 200
37.4767 7.630963769104323e-44 168
38.1838 2.6765822580701e-44 56
38.8909 1.139007559871495e-45 7

0.707107 1.519779994800867e-27 18
1.41421 6.865509267281478e-27 62
2.12132 1.429641937456739e-26 98
2.82843 5.075427843095626e-26 210
3.53554 7.1042275519736e-26 350
4.24264 7.818436528076999e-26 450
4.94975 5.325521056703448e-26 602
5.65686 6.790997910554987e-26 762
6.36396 8.157615202612125e-26 1142
7.07107 8.034138742396729e-26 1250
7.77818 7.38228260910699e-26 1458
8.48528 5.58749411851871e-26 1814
9.19239 2.943960946981902e-26 2178
9.8995 1.580523678247958e-26 2498
10.6066 4.063994118142281e-27 2622
11.3137 9.033932461999846e-29 3338
12.0208 2.104639324063943e-38 3722
12.7279 1.083502554416446e-38 4170
13.435 4.48609165844094e-39 4358
14.1421 1.893903493334458e-39 5034
14.8492 5.643947837040644e-40 5714
15.5564 1.016244558916808e-40 5982
16.2635 8.542546887285316e-42 6602
16.9706 1.224666216101191e-42 7130
17.6777 1.469640810916121e-42 8034
18.3848 2.04600516386117e-42 8606
19.0919 2.572133667010577e-42 9066
19.799 3.225808167211176e-42 9962
20.5061 3.80621430792021e-42 10550
21.2132 4.380437487665352e-42 11226
21.9203 5.255543629166199e-42 12146
22.6274 5.616612799478307e-42 12303
23.3345 5.822529472991762e-42 12584
24.0416 5.523181129719903e-42 12120
24.7487 4.845753146450156e-42 11180
25.4559 4.911868163666196e-42 11096
26.163 4.615171076007553e-42 10056
26.8701 4.576109170363729e-42 9716
27.5772 4.159636681955341e-42 8604
28.2843 4.094907484014473e-42 8060
28.9914 3.848104605488899e-42 7320
29.6985 3.530703129812044e-42 6356
30.4056 3.184738362440376e-42 5348
31.1127 2.674191794008837e-42 4308
31.8198 2.357728141805165e-42 3563
32.5269 1.674197791675438e-42 2448
33.234 1.247306511273296e-42 1868
33.9411 9.409209832036973e-43 1358
34.6482 7.781277317903623e-43 1062
35.3554 6.282527884974735e-43 776
36.0625 3.863845880966556e-43 432
36.7696 1.667691464513094e-43 200
37.4767 1.476885781798648e-43 168
38.1838 4.821451270529818e-44 56
38.8909 5.41921122982489e-45 7

0.707107 1.156958367491895e-27 18
1.41421 8.143738252729891e-27 62
2.12132 1.565394312099586e-26 98
2.82843 4.609561754472261e-26 210
3.53554 7.840130488859443e-26 350
4.24264 6.506274841528835e-26 450
4.94975 6.989077834202407e-26 602
5.65686 8.632195053950814e-26 762
6.36396 9.311785774907761e-26 1142
7.07107 7.658450193314014e-26 1250
7.77818 7.197720274082896e-26 1458
8.48528 4.536631264346803e-26 1814
9.19239 2.603247508073042e-26 2178
9.8995 1.257218183378376e-26 2498
10.6066 3.744743975505333e-27 2622
11.3137 9.625868330931232e-29 3338
12.0208 1.862661537526243e-38 3722
12.7279 8.561144543793249e-39 4170
13.435 3.556614907581439e-39 4358
14.1421 1.464210148014143e-39 5034
14.8492 4.409331049839459e-40 5714
15.5564 8.215246111720428e-41 5982
16.2635 7.858944621617821e-42 6602
16.9706 1.811717838973847e-42 7130
17.6777 2.534602122330584e-42 8034
18.3848 3.65804892450041e-42 8606
19.0919 4.471011259272953e-42 9066
19.799 5.204477748391467e-42 9962
20.5061 6.006911150532326e-42 10550
21.2132 6.86946896359803e-42 11226
21.9203 8.165801501405729e-42 12146
22.6274 8.454299298381523e-42 12303
23.3345 8.210298149506409e-42 12584
24.0416 7.263588889202584e-42 12120
24.7487 5.877197355679885e-42 11180
25.4559 5.517181074940531e-42 11096
26.163 4.896774167114221e-42 10056
26.8701 4.430309238655123e-42 9716
27.5772 3.902861001631297e-42 8604
28.2843 3.562951654619021e-42 8060
28.9914 3.261404901770425e-42 7320
29.6985 3.083842150638327e-42 6356
30.4056 2.650585363097389e-42 5348
31.1127 2.223453664157724e-42 4308
31.8198 1.923156214121078e-42 3563
32.5269 1.311517168388462e-42 2448
33.234 1.026758508898264e-42 1868
33.9411 7.660521814443193e-43 1358
34.6482 6.170141806095855e-43 1062
35.3554 4.799646007045205e-43 776
36.0625 2.755451648219711e-43 432
36.7696 1.188439531714061e-43 200
37.4767 1.165991717334309e-43 168
38.1838 3.571846296052403e-44 56
38.8909 3.533038519591616e-45 7

0.707107 1.346379023185487e-25 18
1.41421 8.12587511890524e-25 62
2.12132 9.622054715039156e-25 98
2.82843 1.44154505281072e-24 210
3.53554 1.248245978658586e-24 350
4.24264 4.809423426560151e-25 450
4.94975 3.783027712478494e-25 602
5.65686 2.443332322899002e-25 762
6.36396 1.454976443772905e-25 1142
7.07107 1.231764235535227e-25 1250
7.77818 6.812281271754957e-26 1458
8.48528 5.122764295475374e-26 1814
9.19239 2.482313286103208e-26 2178
9.8995 1.401025245626263e-26 2498
10.6066 4.742101209436671e-27 2622
11.3137 1.293494526897588e-28 3338
12.0208 3.267415491566796e-38 3722
12.7279 1.152850848957616e-38 4170
13.435 4.360373783931522e-39 4358
14.1421 1.72436118441703e-39 5034
14.8492 5.109829909003323e-40 5714
15.5564 9.812776543929663e-41 5982
16.2635 1.14429552361172e-41 6602
16.9706 4.824231075908701e-42 7130
17.6777 7.096327538187482e-42 8034
18.3848 9.773253937689073e-42 8606
19.0919 1.185163234283597e-41 9066
19.799 1.458941256201038e-41 9962
20.5061 1.717040160274407e-41 10550
21.2132 2.015029313035586e-41 11226
21.9203 2.338845289299105e-41 12146
22.6274 2.426940845527225e-41 12303
23.3345 2.262733331898366e-41 12584
24.0416 1.966081340122288e-41 12120
24.7487 1.558677981386166e-41 11180
25.4559 1.379199852135965e-41 11096
26.163 1.167851497457256e-41 10056
26.8701 1.019420887527194e-41 9716
27.5772 8.675531339897224e-42 8604
28.2843 7.557956749383438e-42 8060
28.9914 6.945211624215468e-42 7320
29.6985 5.977052153813261e-42 6356
30.4056 5.248303359505413e-42 5348
31.1127 4.353624346190844e-42 4308
31.8198 3.688289484965084e-42 3563
32.5269 2.586290257558357e-42 2448
33.234 2.119953757516262e-42 1868
33.9411 1.540229231776395e-42 1358
34.6482 1.259599063472711e-42 1062
35.3554 1.020200681038012e-42 776
36.0625 4.667269627022837e-43 432
36.7696 2.392680525230816e-43 200
37.4767 1.847079773395535e-43 168
38.1838 7.652479121987671e-44 56
38.8909 7.291568082187033e-45 7

0.707107 1.284600161143709e-24 18
1.41421 4.86167541041683e-24 62
2.12132 1.056368947988898e-23 98
2.82843 5.23540848753648e-23 210
3.53554 4.144527289378077e-23 350
4.24264 1.212802919156659e-23 450
4.94975 2.963810824129794e-24 602
5.65686 7.551819871525636e-25 762
6.36396 2.480058916650773e-25 1142
7.07107 2.060604274111577e-25 1250
7.77818 8.385350947555601e-26 1458
8.48528 4.697365387072642e-26 1814
9.19239 2.567402141293324e-26 2178
9.8995 1.337063945434125e-26 2498
10.6066 4.881800898135802e-27 2622
11.3137 1.213147354215575e-28 3338
12.0208 5.657193353536923e-38 3722
12.7279 1.313568229677575e-38 4170
13.435 4.531897795860725e-39 4358
14.1421 1.719196653201675e-39 5034
14.8492 5.057183031694024e-40 5714
15.5564 1.067486464621153e-40 5982
16.2635 2.476791972573516e-41 6602
16.9706 2.002043757030499e-41 7130
17.6777 2.491049545157173e-41 8034
18.3848 3.601289823058096e-41 8606
19.0919 4.828129604695736e-41 9066
19.799 5.64926719198033e-41 9962
20.5061 6.651129892507016e-41 10550
21.2132 8.136689334960726e-41 11226
21.9203 9.420204329439582e-41 12146
22.6274 9.729110857579745e-41 12303
23.3345 8.968429390341302e-41 12584
24.0416 7.438300275574283e-41 12120
24.7487 5.639541112894201e-41 11180
25.4559 4.879649262369679e-41 11096
26.163 3.835377172223352e-41 10056
26.8701 3.139323220312664e-41 9716
27.5772 2.273329315326703e-41 8604
28.2843 1.970111385081658e-41 8060
28.9914 1.659486389256869e-41 7320
29.6985 1.434071647580833e-41 6356
30.4056 1.14076850161639e-41 5348
31.1127 8.947959961955787e-42 4308
31.8198 7.288442909128764e-42 3563
32.5269 4.952168737943308e-42 2448
33.234 3.844956711422319e-42 1868
33.9411 2.64554834597433e-42 1358
34.6482 2.081583355683259e-42 1062
35.3554 1.551417454385089e-42 776
36.0625 9.016270904863141e-43 432
36.7696 4.143588760212371e-43 200
37.4767 3.905074589221756e-43 168
38.1838 1.275356654931287e-43 56
38.8909 1.877442132122445e-44 7

0.707107 1.028365655384578e-22 18
1.41421 4.404760248529738e-22 62
2.12132 5.498374494527541e-22 98
2.82843 1.29064320838101e-21 210
3.53554 1.801092737879208e-21 350
4.24264 5.153908708956658e-22 450
4.94975 6.63230034809312e-23 602
5.65686 5.646331440258301e-24 762
6.36396 1.158261473758656e-24 1142
7.07107 5.707260382520612e-25 1250
7.77818 1.025304952045797e-25 1458
8.48528 4.710473123421834e-26 1814
9.19239 2.704507044340234e-26 2178
9.8995 1.326013558972659e-26 2498
10.6066 4.847518583016602e-27 2622
11.3137 1.000157967154382e-28 3338
12.0208 2.840260629999887e-37 3722
12.7279 4.771495961742562e-38 4170
13.435 8.204118674096339e-39 4358
14.1421 2.29109567523511e-39 5034
14.8492 6.340575653876331e-40 5714
15.5564 1.764161171626907e-40 5982
16.2635 8.154950730439668e-41 6602
16.9706 8.984958821593058e-41 7130
17.6777 1.352551358669337e-40 8034
18.3848 1.989308202253053e-40 8606
19.0919 2.463392884087245e-40 9066
19.799 3.04159870196808e-40 9962
20.5061 3.720621710170699e-40 10550
21.2132 4.834907570868732e-40 11226
21.9203 5.90390862884461e-40 12146
22.6274 6.589058150765127e-40 12303
23.3345 6.784972205597432e-40 12584
24.0416 6.466745978845179e-40 12120
24.7487 5.781347301615385e-40 11180
