1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.707107 7.22181212146697 0.001460701000404181 18
1.41421 26.93509715528542 0.02384011138759977 62
2.12132 43.86357435345168 0.13223331057437 98
2.82843 91.01588855663108 0.6931400942025534 210
3.53554 134.4516011831549 1.968881879861747 350
4.24264 178.4194990638939 3.957229151194034 450
4.94975 240.2900692783113 9.044077613158812 602
5.65686 132.5291982095891 6.005898421911523 762
6.36396 1.290124330668175e-12 8.431485410169335e-32 1142
7.07107 9.287212471543363e-13 1.067625059741522e-31 1250
7.77818 7.270020608909733e-13 1.457493589673771e-31 1458
8.48528 4.928767212240155e-13 1.57018628840575e-31 1814
9.19239 3.092833771165306e-13 2.171016001431184e-31 2178
9.8995 1.415991870853951e-13 2.531228617512952e-31 2498
10.6066 3.622212924598319e-14 2.60120756991395e-31 2622
11.3137 1.737843283576869e-15 2.776985416496808e-31 3338
12.0208 1.547520112382985e-20 3.318065537422608e-31 3722
12.7279 1.62962778199761e-20 4.905517361700678e-31 4170
13.435 1.727104708879007e-20 5.529808207287344e-31 4358
14.1421 1.923120808171866e-20 5.770119010861933e-31 5034
14.8492 2.165153196841117e-20 6.577712112035284e-31 5714
15.5564 2.276626362143371e-20 7.424559698000378e-31 5982
16.2635 2.308850549856689e-20 8.584301863943615e-31 6602
16.9706 2.556846571038614e-20 8.498597688225572e-31 7130
17.6777 2.766800397880275e-20 1.241177354975617e-30 8034
18.3848 2.970414746651236e-20 1.45606479909782e-30 8606
19.0919 3.099536437666653e-20 1.499379134601741e-30 9066
19.799 3.377748196445991e-20 1.775065172070505e-30 9962
20.5061 3.476017805780749e-20 2.025191113332569e-30 10550
21.2132 3.659787878651667e-20 2.192492982072616e-30 11226
21.9203 4.054598307267511e-20 2.156243829838206e-30 12146
22.6274 4.035851354635627e-20 1.942435353409979e-30 12303
23.3345 4.143000064461237e-20 1.777559272037633e-30 12584
24.0416 3.782390060762597e-20 1.670450588681417e-30 12120
24.7487 3.418569055353623e-20 1.571035193099743e-30 11180
25.4559 3.300011158762766e-20 1.621042998804228e-30 11096
26.163 2.92750724719579e-20 1.517158569519243e-30 10056
26.8701 2.815101003764899e-20 1.551191356351003e-30 9716
27.5772 2.436144433597789e-20 1.396004971546917e-30 8604
28.2843 2.354743037195319e-20 1.385655623532929e-30 8060
28.9914 2.0957004932559e-20 1.303187083580941e-30 7320
29.6985 1.793178674385181e-20 1.118447271241817e-30 6356
30.4056 1.488418832717315e-20 9.12774540745522e-31 5348
31.1127 1.187973051541659e-20 7.039844108082457e-31 4308
31.8198 9.669258232646307e-21 5.758467919344406e-31 3563
32.5269 6.633638444148667e-21 3.784404727589576e-31 2448
33.234 5.041903430210841e-21 3.23297507099435e-31 1868
33.9411 3.742262362559765e-21 2.453694252238877e-31 1358
34.6482 2.909687482426954e-21 2.077193847747718e-31 1062
35.3554 2.149179437650173e-21 1.554179328704971e-31 776
36.0625 1.031652503476573e-21 8.879419514881327e-32 432
36.7696 5.161703520162685e-22 3.608984754874353e-32 200
37.4767 4.582242520642845e-22 3.015660545218503e-32 168
38.1838 1.713222735918066e-22 9.922519449935093e-33 56
38.8909 1.653132205815191e-23 1.116938106038941e-33 7

0.707107 0.5581369966252464 0.005732207736892694 18
1.41421 3.698704088189006 0.0469202770779602 62
2.12132 11.2260948833661 0.08210375032718148 98
2.82843 33.68660145509754 0.6817605182996718 210
3.53554 56.94773880794364 3.974409218455793 350
4.24264 86.19893764360901 11.14666085841671 450
4.94975 102.2117227923885 21.48199273813458 602
5.65686 40.31147181006325 12.10324060770699 762
6.36396 6.820506655143459e-11 1.586223110162491e-11 1142
7.07107 5.237699337819799e-11 1.277344734695588e-11 1250
7.77818 3.79587878078553e-11 9.398004955758136e-12 1458
8.48528 2.497391223496863e-11 6.58968975735072e-12 1814
9.19239 1.539412128372508e-11 4.828389073380149e-12 2178
9.8995 5.705082364778309e-12 2.415356316569968e-12 2498
10.6066 1.588540938400863e-12 6.060902362996099e-13 2622
11.3137 7.43226192175738e-14 3.17873218405027e-14 3338
12.0208 5.977829865140378e-17 1.248132347753416e-18 3722
12.7279 7.402339673762295e-17 1.554849943185513e-18 4170
13.435 8.088662698266185e-17 1.82114109614714e-18 4358
14.1421 1.09500141484083e-16 2.270197017197663e-18 5034
14.8492 1.199206436466443e-16 2.749358945514908e-18 5714
15.5564 1.297192288614773e-16 3.018583429672432e-18 5982
16.2635 1.5820791490097e-16 3.69262596462021e-18 6602
16.9706 1.69572064683561e-16 4.268660567849408e-18 7130
17.6777 2.026931309034757e-16 5.063435322705976e-18 8034
18.3848 2.273867286615448e-16 5.696555346008396e-18 8606
19.0919 2.454306487386928e-16 6.302800546281831e-18 9066
19.799 2.834176217805864e-16 7.270737170047354e-18 9962
20.5061 3.000402106660646e-16 8.035583483824866e-18 10550
21.2132 3.294592989396679e-16 8.91541512395956e-18 11226
21.9203 3.700854727339056e-16 1.01346216799294e-17 12146
22.6274 3.888516257250934e-16 1.071265087741305e-17 12303
23.3345 4.074020485734102e-16 1.139406463023105e-17 12584
24.0416 3.950599899204003e-16 1.124928967665612e-17 12120
24.7487 3.70795091459457e-16 1.091417365742005e-17 11180
25.4559 3.783919321176162e-16 1.151615678586912e-17 11096
26.163 3.43431502771831e-16 1.084179621928259e-17 10056
26.8701 3.525045644765563e-16 1.076004635645406e-17 9716
27.5772 3.151283249897876e-16 1.005238958587446e-17 8604
28.2843 2.931877355587625e-16 9.502638822928251e-18 8060
28.9914 2.864777848653477e-16 8.996777292794332e-18 7320
29.6985 2.483483968253056e-16 7.972131681684999e-18 6356
30.4056 2.143869534376838e-16 6.998250343364444e-18 5348
31.1127 1.804356920405681e-16 5.891520388020888e-18 4308
31.8198 1.53106114643368e-16 5.028892131768818e-18 3563
32.5269 1.057604987563103e-16 3.568582365326914e-18 2448
33.234 8.061081740928736e-17 2.757948613932911e-18 1868
33.9411 5.745985760096969e-17 2.191914938173967e-18 1358
34.6482 4.791269746265951e-17 1.631146368130471e-18 1062
35.3554 3.451479136328827e-17 1.127695428178232e-18 776
36.0625 2.027903532757368e-17 7.105981137664596e-19 432
36.7696 9.205069708053575e-18 3.475953605936727e-19 200
37.4767 9.115971501114125e-18 2.507597036413235e-19 168
38.1838 3.062744740999751e-18 9.583234345324935e-20 56
38.8909 2.158993119440056e-19 9.730799091931316e-21 7

0.707107 2.531779819299397 0.1555737890882067 18
1.41421 29.52448827131036 1.594052534431399 62
2.12132 91.4469131280388 2.638387090691228 98
2.82843 120.0158953149525 1.000627958665942 210
3.53554 191.9550262081152 1.220981002669888 350
4.24264 277.2695445907748 4.220096016644595 450
4.94975 245.5493512709056 5.499113500316472 602
5.65686 134.5260525426298 5.74824081348852 762
6.36396 7.76803150697805e-10 3.680257188116382e-11 1142
7.07107 5.510630747101922e-10 2.175725929710601e-11 1250
7.77818 4.677536445473318e-10 1.315901235941058e-11 1458
8.48528 2.994850088600158e-10 1.018004268065363e-11 1814
9.19239 1.105808535024339e-10 5.78856976097779e-12 2178
9.8995 3.509760233580984e-11 2.880539921785621e-12 2498
10.6066 6.945990204305547e-12 1.096609410264336e-12 2622
11.3137 3.60976646276047e-13 4.41719432927454e-14 3338
12.0208 1.979643712755472e-16 1.307271240633075e-18 3722
12.7279 2.636454069679954e-16 1.674827595126642e-18 4170
13.435 2.841117921073977e-16 2.01949437354655e-18 4358
14.1421 3.633383918432049e-16 2.505369141244703e-18 5034
14.8492 4.518924075331062e-16 3.160207977835847e-18 5714
15.5564 5.002086099955549e-16 3.626548215724841e-18 5982
