#t    E^kin_scal0    E^grad_scal0    E^kin_scal1    E^grad_scal1    Vpot_term_0    Vpot_term_1    E_tot
0    0.125000208327259    6.15714514064603e-14    2.56972496663112e-13    1.9252335057585e-14    0.250000000000023    2.49375141472869e-13    0.37500020832787
0.5    0.0694732610601777    1.21579495020638e-14    5.660353399162e-14    3.49309467082526e-15    0.0720499151730536    5.4058502172022e-14    0.141523176233358
1    0.0307207421041658    3.17235553094904e-15    1.32915340481995e-14    1.00470669932879e-15    0.0110937681102813    1.19066128463909e-14    0.0418145102144764
1.5    0.0115958787756248    1.29953899001753e-15    3.27151879066151e-15    5.78258679193875e-16    0.000653020997519636    2.7529022585452e-15    0.0122488997731523
2    0.00452350675793103    7.09254150121996e-16    8.41753170271686e-16    5.87957082511707e-16    1.660769108669e-06    2.06442703537082e-16    0.00452516752704204
2.49999999999999    0.00211152606309377    4.30942806598429e-16    5.25226168102171e-16    4.15514301768213e-16    1.09694207675287e-05    5.82274837762643e-16    0.00212249548386326
2.99999999999998    0.000925890701155337    2.60841975573439e-16    6.40492292840662e-16    1.38972135675458e-16    0.000282862954587164    1.17065430566405e-15    0.00120875365574471
3.49999999999997    8.53073686115497e-05    1.70299933600426e-16    1.09777488584698e-15    5.68076927836585e-17    0.000873792769582877    7.31506821259455e-16    0.000959100138196483
3.99999999999996    0.000183073682170461    1.13740126263617e-16    7.95469528171657e-16    3.71889986973735e-17    0.000745945948101071    5.3533559485383e-16    0.000929019630273014
4.49999999999995    0.000520658819592048    8.14205880537398e-17    4.29343816384727e-16    2.68390713317753e-17    0.000181492109084846    2.73384899209601e-16    0.000702150928677705
4.99999999999994    0.000430533818010099    6.34677338229921e-17    1.63803515390097e-16    3.95622775877268e-17    8.98410419463025e-06    9.55725605445649e-17    0.000439517922205092
5.49999999999993    0.000279958080897803    4.79296428655424e-17    5.30505238179149e-17    5.71555971460847e-17    1.12947129558185e-12    8.70300799970125e-20    0.000279958082027432
5.99999999999992    0.000183329044664766    3.63501936121052e-17    1.5819878499062e-16    1.72920822724844e-17    5.98214147698767e-06    8.62619886151841e-17    0.000189311186142052
6.49999999999991    8.01054477097686e-05    2.59153661526524e-17    2.35295992751215e-16    9.17112736538924e-18    6.17615812074272e-05    8.87201592652589e-17    0.000141867028917555
6.9999999999999    5.4890544168059e-07    1.92680209302024e-17    1.95091831447528e-16    5.34430242744443e-18    0.000130623831201983    1.35868871380585e-16    0.000131172736644019
7.49999999999988    4.86110698165094e-05    1.57100847010409e-17    1.27400957644258e-16    4.87809708530148e-18    7.64659624811905e-05    1.1315188409826e-16    0.000125077032297961
7.99999999999987    8.73867601157248e-05    1.35775170872386e-17    6.32728304204152e-17    7.16432389254021e-18    1.17840344659087e-05    6.49978023562923e-17    9.91707945817825e-05
8.49999999999986    7.27050040520527e-05    1.16432390216904e-17    3.33775620393396e-17    1.05547246925039e-17    1.53055241330027e-07    1.0574562432315e-17    7.28580592934489e-05
8.99999999999985    5.44382002056663e-05    9.82800299084587e-18    1.17544979034748e-17    1.79990860069475e-17    6.61998791137001e-08    2.55827385843094e-17    5.45044000848452e-05
9.49999999999984    3.6852757883491e-05    7.68118432653277e-18    8.95961321458539e-17    5.5404308454845e-18    5.36801360321995e-06    4.36153357772803e-17    4.22207714868574e-05
9.99999999999983    9.80047847636558e-06    5.85308633702201e-18    7.15440731585959e-17    2.55336360241184e-18    2.65054580145879e-05    1.16477232776237e-16    3.63059364911499e-05
10.4999999999998    2.19462634872567e-06    4.86867278483207e-18    4.95133916077214e-17    2.18313345480703e-18    3.34793045820497e-05    1.23380898416263e-16    3.56739309309554e-05
10.9999999999998    2.10749360892851e-05    4.35525974050115e-18    3.02924540930689e-17    2.6025701153699e-18    1.16332574240562e-05    8.68015278575473e-17    3.27081935134654e-05
11.4999999999998    2.57028960926476e-05    4.0162438352948e-18    2.06799334809837e-17    3.35458815823493e-18    8.62934677488994e-07    2.98802467262792e-17    2.65658307701945e-05
11.9999999999998    2.11491416618452e-05    3.63833432552126e-18    1.77956705619501e-17    7.12391030891139e-18    2.50057046640958e-11    3.51189182934616e-19    2.11491666675788e-05
12.4999999999998    1.67624743042379e-05    3.05760152295891e-18    3.00782976904869e-17    6.72964568190951e-18    3.34716091089107e-07    7.48952573994168e-17    1.70971903954418e-05
12.9999999999998    9.48848264999537e-06    2.45367917909045e-18    9.2861596348835e-17    1.90681921349386e-18    4.8847965300659e-06    8.53898881985197e-17    1.43732791802439e-05
13.4999999999998    5.3052548166285e-07    1.99657980038367e-18    2.0608642124006e-17    2.2760678671855e-18    1.29615800989321e-05    1.75685260947092e-16    1.34921055807955e-05
13.9999999999997    3.906189499868e-06    1.77062725298543e-18    1.98944936849423e-17    2.09882383850569e-18    9.36381930219783e-06    1.44059877108024e-16    1.32700088022337e-05
14.4999999999997    9.99886272739925e-06    1.6970220973195e-18    8.67520248710601e-17    1.29311696850159e-18    1.78381882394212e-06    1.4752633227492e-17    1.17826815514459e-05
14.9999999999997    9.80609106223631e-06    1.60579878819933e-18    3.5897869241729e-17    1.81590817651532e-18    3.56937005959515e-08    3.23381446266944e-18    9.84178476287482e-06
15.4999999999997    8.22720268475027e-06    1.44915848862958e-18    1.27101250358787e-17    1.15859788222197e-17    4.74773996589086e-09    2.13348126907364e-17    8.23195042476325e-06
15.9999999999997    6.29402855996758e-06    1.23993071350815e-18    1.83188849013826e-16    1.06942125806016e-18    6.91489348822451e-07    9.37326950788324e-18    6.98551790898491e-06
16.4999999999998    2.18234657816993e-06    9.77752677242904e-19    1.4528980913157e-17    3.60874579316887e-18    4.09066168957143e-06    2.58644358457582e-16    6.27300826801912e-06
16.9999999999999    1.5843849384429e-07    8.63562822504244e-19    3.03447752095784e-17    2.82992995226863e-18    6.01366377874216e-06    2.47656225460288e-16    6.17210227286814e-06
17.4999999999999    3.47365117864291e-06    8.2208367777236e-19    9.14501764296888e-17    2.3371924334505e-18    2.42239655290087e-06    1.1829377240629e-16    5.89604773175668e-06
18    4.95583838095541e-06    7.9677702048557e-19    1.06457229797105e-17    4.18424005428827e-18    2.16660737720255e-07    8.54005214520337e-17    5.17249911877669e-06
18.5000000000001    4.44249418040267e-06    7.62857234986199e-19    4.18280562973668e-17    6.50487799623978e-18    5.37621425115227e-11    1.56882807728259e-18    4.44254794259584e-06
19.0000000000002    3.7846448778066e-06    6.81868779203e-19    2.76708298302679e-17    1.65122180559895e-17    5.49568003472727e-08    1.87488005992811e-16    3.83960167838622e-06
19.5000000000002    2.39894287291583e-06    5.6478466660472e-19    9.70031549748741e-17    6.13542740295892e-18    9.91778437770396e-07    3.26225238358964e-16    3.39072131111615e-06
20.0000000000003    2.34783413242635e-07    4.7421167221004e-19    8.82375862584266e-17    4.85268863785512e-18    2.98434950156787e-06    4.08073211173546e-16    3.21913291531214e-06
20.5000000000004    7.6309221233036e-07    4.39974228250484e-19    1.20369365980301e-16    4.23037409178742e-18    2.42743429885763e-06    3.2819978424202e-16    3.19052651164123e-06
21.0000000000005    2.43084466586256e-06    4.36735820459163e-19    2.71816696988991e-16    5.39329965303477e-19    5.23798570620951e-07    1.44387642950607e-17    2.95464323677074e-06
21.5000000000006    2.59044207498609e-06    4.2548540927018e-19    1.06803676438003e-16    1.07353121025494e-18    1.3692623524706e-08    7.06409058413449e-18    2.60413469862617e-06
22.0000000000006    2.28850551796864e-06    4.0655589912434e-19    4.76729702701279e-17    2.9608777297418e-17    6.74072538717548e-10    4.3589871370626e-17    2.28917959062864e-06
22.5000000000007    1.86181684821157e-06    3.50449520680538e-19    6.1442375235291e-16    6.76403326617259e-19    1.66341886361134e-07    1.91266596409231e-17    2.02815873520728e-06
23.0000000000008    7.48109639257069e-07    2.92906000772982e-19    1.05571213377277e-16    1.14400939738465e-17    1.11627776217588e-06    7.81727820093922e-16    1.86438740233198e-06
23.5000000000009    1.78230074608428e-08    2.57756670658006e-19    3.30803326668626e-16    7.35981720512597e-18    1.8183189378576e-06    6.3389454185398e-16    1.83614194629076e-06
24.000000000001    9.73362261133117e-07    2.53435321453677e-19    5.37327449565938e-16    4.29823718980792e-18    8.10727342313688e-07    2.27888410610355e-16    1.78408960421657e-06
24.500000000001    1.54105592431659e-06    2.55899704687314e-19    1.86116743927465e-17    1.61262541152194e-17    8.27830534471388e-08    3.61526021014709e-16    1.62383897816025e-06
25.0000000000011    1.4489014760955e-06    2.46374951010894e-19    1.68849559318591e-16    1.74073134288453e-17    6.24846287307401e-11    8.60508754769664e-18    1.44896396091934e-06
25.5000000000012    1.2826963568657e-06    2.32474415483336e-19    4.76820683316777e-17    7.17944610154606e-17    1.40765568586389e-08    6.93829961746256e-16    1.29677291453788e-06
26.0000000000013    8.72430189876571e-07    1.93858261279804e-19    1.19365149884753e-16    3.15681634075077e-17    3.04232493025236e-07    1.49822481551057e-15    1.17666268455116e-06
26.5000000000013    1.17427826317132e-07    1.65741654480319e-19    9.14492585404431e-16    1.40223825019063e-17    1.00800148237598e-06    1.10525944981346e-15    1.12542931072705e-06
