1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.25 3.880418746426269e-18 2.376615949963444e-16 18
0.5 2.759485552120601e-17 3.142931217988027e-15 62
0.75 6.732512182653821e-17 8.002499182986948e-15 98
1 2.056125774581995e-16 2.111457057153486e-14 210
1.25 4.266912756305611e-16 4.754639217517391e-14 350
1.5 6.951537906790406e-16 6.770361063324354e-14 450
1.75 1.073251193765727e-15 1.225297011573362e-13 602
2 1.580209486085302e-15 1.63630981224609e-13 762
2.25 2.542027182358541e-15 2.926522937493723e-13 1142
2.5 3.138430670239063e-15 3.965185799740518e-13 1250
2.75 4.030300446731501e-15 4.873139837159698e-13 1458
3 5.24703794797609e-15 6.507438527960944e-13 1814
3.25 6.865878625454791e-15 8.501756858544595e-13 2178
3.5 8.452883151695391e-15 1.091239817858855e-12 2498
3.75 9.282963305843071e-15 1.226971018274862e-12 2622
4 5.791422665284907e-15 7.935646483540715e-13 3338
4.25 9.336755546997507e-47 1.261633044279009e-44 3722
4.5 1.087131576812976e-46 1.250801786228402e-44 4170
4.75 9.747021398635878e-47 1.29078197007921e-44 4358
5 1.105012796863583e-46 1.346746252280096e-44 5034
5.25 1.201674338763918e-46 1.558944970641493e-44 5714
5.5 1.311694910694667e-46 1.633113655649226e-44 5982
5.75 1.333832544085687e-46 1.722849699194725e-44 6602
6 1.425140367547228e-46 1.682535708403974e-44 7130
6.25 1.596970512272429e-46 2.076263091570111e-44 8034
6.5 1.749033928909677e-46 2.165768995394891e-44 8606
6.75 1.721897380211481e-46 2.228608084282393e-44 9066
7 1.749665027298344e-46 2.323842839905173e-44 9962
7.25 1.786596054654612e-46 2.267371090612711e-44 10550
7.5 1.768397077907269e-46 2.238361864087755e-44 11226
7.75 1.918185519107524e-46 2.253610499564386e-44 12146
8 1.783823907473574e-46 2.249765866145935e-44 12606
8.25 1.881198123966394e-46 2.35649345166704e-44 13802
8.5 2.121735950966529e-46 2.610452925259403e-44 14754
8.75 2.326386018504732e-46 2.853752529750755e-44 15194
9 2.543558723452507e-46 3.144776875621007e-44 16454
9.25 2.839470444202024e-46 3.567545922812925e-44 17154
9.5 2.840829218120153e-46 3.594390815764553e-44 18266
9.75 2.754949873370956e-46 3.424519141878175e-44 18750
10 2.962793397413553e-46 3.588522665429473e-44 20234
10.25 2.967173708791469e-46 3.76449977103944e-44 21450
10.5 3.182731089411639e-46 3.942180439493406e-44 21962
10.75 3.18191186322179e-46 4.056076616601629e-44 23462
11 3.274221767452923e-46 4.212619815608676e-44 24042
11.25 3.391042296554108e-46 4.182186886197416e-44 25946
11.5 3.297027339735055e-46 4.325076995577849e-44 26118
11.75 3.481278314761034e-46 4.161679329560176e-44 27506
12 3.452202872262617e-46 4.26035166240289e-44 29066
12.25 3.814495007880908e-46 4.693500451435697e-44 30450
12.5 4.078841796461437e-46 5.090994526834017e-44 31742
12.75 4.573124917760679e-46 5.44912994972316e-44 32250
13 4.740647981705713e-46 5.909166318015274e-44 34250
13.25 5.318839642338231e-46 6.495115807761768e-44 35454
13.5 5.595017443916291e-46 7.207913826192309e-44 36434
