#t    <phi>    <pi>    <phi^2>    <pi^2>    rms(phi)    rms(pi)
0    2.26182198744969e-25    -6.77254126527791e-24    4.15625236161953e-15    5.13944993326224e-13    6.4469003107071e-08    7.16899569902384e-07
0.5    -3.79513831683809e-16    -1.40263400940352e-15    1.67834206480988e-15    2.53241735362394e-13    4.09675733331848e-08    5.03231294100828e-07
1    1.34828334509926e-17    -2.82038945831941e-15    9.42122163676257e-16    1.16789415587195e-13    3.06940085957546e-08    3.41744664314156e-07
1.5    2.21490239551732e-16    1.6697474989251e-15    8.97889450260111e-16    4.66512172605005e-14    2.99648035244704e-08    2.15988928560009e-07
2    6.14599433167381e-17    -4.8839467106098e-16    1.33521326211298e-15    1.68278974900924e-14    3.65405700846741e-08    1.29722386233419e-07
2.49999999999999    -6.55862457981965e-17    3.61969448486916e-17    1.46520860090358e-15    1.35202247009419e-14    3.82780433264761e-08    1.16276501069399e-07
2.99999999999998    -1.1965241669177e-17    -4.17452671386507e-16    5.80128964096374e-16    2.0189645469007e-14    2.40858664800827e-08    1.42090272253265e-07
3.49999999999997    4.98095337909863e-17    2.63604303158638e-16    2.06321834181686e-16    4.14604351558228e-14    1.43639073438144e-08    2.03618356627841e-07
3.99999999999996    9.29422667889621e-18    7.60005881266362e-16    1.63411013279407e-16    3.6316715950387e-14    1.27832317228237e-08    1.90569451776477e-07
4.49999999999995    -3.94843049411474e-17    -1.77007734366919e-16    1.69144226176249e-16    2.38296539547164e-14    1.30055459776301e-08    1.54368565306271e-07
4.99999999999994    1.7308666151851e-17    1.14301351469076e-16    2.65794956083531e-16    1.08403607338373e-14    1.63032191938749e-08    1.04117053040495e-07
5.49999999999993    9.95573401189492e-17    2.70218904961749e-16    6.82642816692381e-16    4.0830719065839e-15    2.61274341773619e-08    6.38989194477019e-08
5.99999999999992    2.84063618947972e-17    -7.12730867260204e-16    2.93936031672682e-16    1.38856947564355e-14    1.71445627437005e-08    1.17837577862223e-07
6.49999999999991    -1.98700471358851e-17    4.99740169326072e-16    9.41039711530114e-17    2.32184562940112e-14    9.70072013579463e-09    1.52376035825884e-07
6.9999999999999    -1.32086203008985e-16    -5.62138942776029e-16    9.90785308127792e-17    2.15574537416684e-14    9.95381991060614e-09    1.46824567909013e-07
7.49999999999988    -1.35792386491546e-16    -1.05452969469635e-15    1.07852387821175e-16    1.5835602260096e-14    1.03852004227735e-08    1.25839589398949e-07
7.99999999999987    4.36288198588181e-17    -1.04105613123553e-15    1.5784625469599e-16    8.83491592245442e-15    1.2563687941683e-08    9.39942334531987e-08
8.49999999999986    2.46332361085949e-17    4.12333659196177e-16    2.25326311942686e-16    5.18710352614525e-15    1.50108731239287e-08    7.20215490401675e-08
8.99999999999985    1.26900858922607e-16    2.85854644187999e-16    8.28878068917229e-16    2.01236948155745e-15    2.87902425991382e-08    4.48594413870419e-08
9.49999999999984    1.65641378619089e-16    -8.95125840724624e-16    1.56938750942804e-16    1.67555851472093e-14    1.25275197442592e-08    1.29443366563178e-07
9.99999999999983    5.47655909240455e-17    2.45086583510413e-15    1.88593095355839e-16    1.4537421466568e-14    1.37329201321437e-08    1.20571229845963e-07
10.4999999999998    -6.3500700377523e-18    2.9724803399785e-15    1.77757724824304e-16    1.0933046353636e-14    1.33325813263713e-08    1.04561208646591e-07
10.9999999999998    -5.41655851544375e-17    1.86760137214289e-15    2.12157818590188e-16    7.28366919325612e-15    1.45656382829654e-08    8.53444151263345e-08
11.4999999999998    -1.00405613661023e-16    -4.72348518270359e-16    2.6814681114785e-16    5.39927334506964e-15    1.63751888889213e-08    7.34797478566008e-08
11.9999999999998    -1.01097690452153e-17    3.37125998135513e-16    5.85463367279218e-16    5.01618822962641e-15    2.41963502884054e-08    7.08250536860115e-08
12.4999999999998    3.08335709574708e-16    1.22626709677822e-15    1.07924823462506e-15    9.10287870953454e-15    3.2851913713284e-08    9.54090074863717e-08
12.9999999999998    -4.31438138807041e-16    -2.65149557839878e-15    3.22123680000915e-16    3.00417780655341e-14    1.79478043225603e-08    1.73325641685049e-07
13.4999999999998    -6.14345893940892e-17    -5.87246961176293e-15    4.06825596154581e-16    7.11314310786217e-15    2.01699180998481e-08    8.43394516692048e-08
13.9999999999997    1.15787820662739e-17    -4.41483369892691e-15    3.92470972985735e-16    7.33771879482528e-15    1.98108801668612e-08    8.56604856093243e-08
14.4999999999997    1.74486517463876e-16    -1.27358330388775e-15    9.2060334306312e-17    3.41870183015952e-14    9.59480767427425e-09    1.84897318265018e-07
14.9999999999997    -1.29748460809718e-16    2.82945876401412e-16    1.42681739494603e-16    1.50697513611391e-14    1.19449461905277e-08    1.2275891560754e-07
15.4999999999997    1.57205691700821e-17    3.88803636562112e-17    2.58127118039796e-15    5.66377199704168e-15    5.08062120256761e-08    7.52580360960986e-08
15.9999999999997    -6.1815100385132e-16    -1.5659632152128e-16    9.39271370663989e-17    8.63487845270717e-14    9.69160136749333e-09    2.93851636931074e-07
16.4999999999998    8.79481872683022e-17    -1.00163974137987e-14    1.06615854672539e-15    7.22545721740827e-15    3.26520833443348e-08    8.50026894716171e-08
16.9999999999999    3.47602127119706e-16    -1.10744779024306e-14    8.41868777087855e-16    1.59414749031909e-14    2.90149750488925e-08    1.26259553710564e-07
17.4999999999999    6.04294838890453e-16    -4.44040708631833e-15    6.33441717726228e-16    5.07213999081282e-14    2.51682680716459e-08    2.2521412013488e-07
18    -2.08022148120079e-16    2.42419901769425e-15    1.5296931133097e-15    6.22481291686906e-15    3.91112913787017e-08    7.88974835902201e-08
18.5000000000001    4.26795950460571e-16    5.61566269475625e-16    1.78346697464594e-15    2.57549621510163e-14    4.22311138219908e-08    1.60483526104757e-07
19.0000000000002    6.88530132967536e-16    2.94635774044882e-16    6.66831074025436e-15    1.78772579550966e-14    8.16597253256118e-08    1.33705863577843e-07
19.5000000000002    -7.47613612942239e-16    -3.74797066566033e-15    2.73173509914874e-15    6.56431350735207e-14    5.22660032827147e-08    2.56209162743101e-07
20.0000000000003    -2.55335732756869e-17    -1.19791683479731e-14    1.96884563226866e-15    6.26275267372061e-14    4.4371676013744e-08    2.50254923502428e-07
20.5000000000004    1.24894257483789e-16    -1.0137526861786e-14    1.75556853827439e-15    8.94410171971095e-14    4.18995052270834e-08    2.99066910903078e-07
21.0000000000005    5.11478287505356e-16    -2.23271498309687e-15    1.66421321058811e-16    2.11309455741046e-13    1.29004387932663e-08    4.5968408254044e-07
21.5000000000006    -3.30975466925298e-16    8.62956251077141e-16    5.03494764137611e-16    8.68396480842157e-14    2.24386890022036e-08    2.94685676754429e-07
22.0000000000006    1.7726344654841e-16    7.77975203810321e-16    1.3995937638388e-14    4.04744108967121e-14    1.18304427805505e-07    2.01182531291144e-07
22.5000000000007    -9.93452628783169e-16    -3.30635584667153e-15    3.9163857790148e-16    5.43480907090624e-13    1.97898604821125e-08    7.37211575526744e-07
23.0000000000008    8.43610622300302e-16    -1.62676802678175e-14    6.16713019085688e-15    9.73752532402071e-14    7.85310778663892e-08    3.12050081301394e-07
23.5000000000009    1.49199622364441e-15    -1.70964966532963e-14    3.91673026415278e-15    3.17273862208333e-13    6.25837859525355e-08    5.63270682894408e-07
24.000000000001    1.65406203005278e-15    -4.8511161473206e-15    2.10760713775092e-15    5.36129213244765e-13    4.59086825965516e-08    7.32208449312602e-07
24.500000000001    -7.13247885225282e-16    4.81484556914791e-15    1.04759502669467e-14    1.931838583297e-14    1.02352089704836e-07    1.38990596203376e-07
25.0000000000011    6.15248697641017e-16    1.56928188032228e-15    9.07234401339951e-15    1.82108140144829e-13    9.52488530818062e-08    4.26741303537435e-07
25.5000000000012    1.17481134658472e-15    -3.22573341492789e-16    4.87606466882147e-14    5.32898351629022e-14    2.20818130343083e-07    2.30845912164158e-07
26.0000000000013    -1.05783903158666e-15    -6.1360803133187e-15    2.26510661140816e-14    1.38108363963958e-13    1.50502711318041e-07    3.71629336791322e-07
26.5000000000013    5.86771935974636e-16    -1.96717116285873e-14    9.16923033667829e-15    1.0999751372909e-12    9.57560981696638e-08    1.04879699527168e-06
27.0000000000014    1.04052551025297e-15    -1.97066083617061e-14    7.54781114481354e-15    1.30936109508271e-12    8.68781396256477e-08    1.14427317327757e-06
27.5000000000015    1.46943660633684e-15    -5.3243615617804e-16    2.51405891225565e-15    1.41050969008064e-12    5.01403920233543e-08    1.1876488075524e-06
28.0000000000016    -6.69734602136793e-16    1.8324045942754e-15    4.47998884212053e-15    6.13025709029435e-13    6.69327187713194e-08    7.82959583266873e-07
28.5000000000017    4.63632248692207e-16    2.27628768074638e-15    9.40089917644181e-14    3.33317200520572e-13    3.06608857935348e-07    5.77336297594887e-07
29.0000000000017    4.68991274116273e-16    -6.03624530025026e-15    8.41994651385879e-15    3.80297106409466e-12    9.17602665311015e-08    1.95012078192471e-06
29.5000000000018    9.51782547432719e-16    -1.96845623870337e-15    3.54080335037615e-14    1.96387098290001e-12    1.88170224806587e-07    1.40138181196275e-06
30.0000000000019    1.87225569935839e-15    -3.79732105685639e-15    1.6120347665966e-14    4.49021001587668e-12    1.2696593112314e-07    2.11901156577228e-06
30.500000000002    2.19686260746677e-15    4.85470091777084e-15    5.71268893900253e-15    5.23539880595382e-12    7.55823321881676e-08    2.28809938725437e-06
31.000000000002    -1.59001766935356e-15    6.30843175880807e-15    7.83422616137548e-14    2.12305072459139e-13    2.79896876748839e-07    4.60765745752805e-07
31.5000000000021    4.28297422884932e-16    2.16998551932347e-15    5.57904320029042e-14    1.47823728592734e-12    2.36199983071346e-07    1.21582781919453e-06
32.0000000000022    4.02345007119669e-16    -8.51558735653579e-15    3.978460850911e-13    1.67881454581621e-13    6.30750414261537e-07    4.0973339451602e-07
32.5000000000021    -1.01459416872327e-15    3.24240202190365e-14    1.90251714645549e-13    2.35374408410503e-13    4.361785352875e-07    4.85154004838157e-07
33.000000000002    -3.79865773140563e-15    1.3522560101505e-14    3.60296767578118e-14    1.4153123354913e-11    1.89814848623104e-07    3.76206370957656e-06
33.5000000000019    -2.82449564737436e-15    6.33779420679625e-15    2.59984420523642e-14    1.55109625370475e-11    1.61240323903061e-07    3.93839593452049e-06
34.0000000000018    -6.41809851904176e-16    -1.04776349139749e-14    4.40350871007529e-14    9.63130557801361e-12    2.09845388562039e-07    3.10343448102479e-06
34.5000000000017    2.66631823310716e-16    7.10554961489554e-15    5.02543951815626e-14    4.7863957504334e-12    2.24174920946931e-07    2.1877832960404e-06
35.0000000000016    3.6486686758879e-15    6.72438932240804e-15    7.10447245994653e-13    2.97554278406894e-12    8.4288032720823e-07    1.72497616913073e-06
35.5000000000015    8.44794185501025e-15    -3.13324043422901e-15    1.48974161151334e-13    2.84619716178845e-11    3.85971710299257e-07    5.33497625279481e-06
36.0000000000014    -6.60326086801976e-15    8.21120187040455e-14    1.88035959321032e-13    2.85355420924142e-11    4.33631132785725e-07    5.34186691077326e-06
36.5000000000013    -9.89940230064318e-15    5.90043590918908e-14    4.56848393969748e-14    5.18134237433229e-11    2.13740121168148e-07    7.19815419002142e-06
37.0000000000012    -7.9715835867597e-15    2.25974493064499e-14    1.0308108755128e-14    4.86701009071606e-11    1.01528856760667e-07    6.9763959826805e-06
37.5000000000011    -9.73208184001766e-16    -2.8104347731882e-14    6.18014876438165e-13    3.71058655114361e-12    7.86139222045412e-07    1.9262882834985e-06
38.000000000001    4.33999140342003e-15    2.26115995940213e-14    3.73799572203424e-13    1.31805136762897e-11    6.11391504850553e-07    3.63049771743348e-06
38.5000000000009    1.39665630364172e-14    5.46737293782588e-15    3.49895692440856e-12    5.49502634226274e-13    1.87054989893575e-06    7.41284448930554e-07
39.0000000000008    -9.27003944590447e-15    -1.00494471127871e-14    1.60440363375615e-12    5.42801062932966e-12    1.266650557082e-06    2.32980914010776e-06
39.5000000000007    -1.11933673550902e-14    -1.02789606660574e-13    8.6991023650987e-14    1.562265891724e-10    2.94942407345887e-07    1.24990635318171e-05
40.0000000000006    -1.94835712779783e-14    -1.39419305450626e-13    4.75803240990356e-14    1.62658137058447e-10    2.18129145459829e-07    1.27537499214328e-05
40.5000000000005    -5.80637596005486e-15    -2.62529311667089e-13    6.57751664050869e-13    6.36224660527285e-11    8.11018904866508e-07    7.97636922745734e-06
41.0000000000004    1.20836685894894e-14    1.59565628056064e-13    6.10095744735907e-13    3.95280353169131e-11    7.81086259471966e-07    6.28713251943309e-06
41.5000000000003    6.40625424185976e-14    8.3247955554528e-14    5.79267373117291e-12    2.82323651813482e-11    2.40679740135577e-06    5.3134137031995e-06
42.0000000000002    1.51443873502811e-14    -4.19245038715084e-13    2.26464942440549e-12    2.21532685385406e-10    1.50487521888211e-06    1.48839741126289e-05
42.5000000000001    5.99061566871705e-14    3.61848551094265e-13    8.1489580946935e-13    3.54022291671543e-10    9.02715796621144e-07    1.88154801073888e-05
43    6.9021534024808e-14    7.745719472337e-13    5.95624832188332e-14    5.25544236535369e-10    2.44054262857317e-07    2.29247516133844e-05
43.4999999999999    7.41027239466455e-14    1.06063628627333e-12    2.31440484944602e-13    4.27023543070331e-10    4.81082617587246e-07    2.06645479764337e-05
43.9999999999998    -1.39820852250375e-13    3.66650833022407e-13    4.98221152009457e-12    6.32368810434886e-11    2.23208680836892e-06    7.95216203579181e-06
44.4999999999997    2.16313625793319e-13    5.31659271452144e-13    2.60257085155634e-12    1.25796353105942e-10    1.61324853992071e-06    1.12158973384184e-05
44.9999999999996    4.21350627976807e-13    -2.24699154826218e-14    3.24191348996381e-11    4.38950325299613e-12    5.69378036981037e-06    2.09511413841731e-06
45.4999999999995    -2.84665269458553e-13    -7.73916747714301e-13    1.33463592874407e-11    1.56820193507418e-10    3.65326693350495e-06    1.25227869704558e-05
45.9999999999994    -1.06848324790971e-13    -3.71448115539749e-12    1.67611210916992e-13    1.54835576138185e-09    4.0940348180857e-07    3.9349151977925e-05
46.4999999999993    -2.10120896604909e-13    -4.95883493357019e-12    3.48370430686367e-13    1.5371903408951e-09    5.90229134054159e-07    3.92070190258718e-05
46.9999999999992    1.19144713585417e-13    -5.6430254831009e-12    8.80730706452465e-12    3.78885055888684e-10    2.96771074475338e-06    1.94649699688608e-05
47.4999999999991    1.5011484148618e-13    4.37274770499742e-12    7.62023512763842e-12    3.35226463294551e-10    2.76047733691809e-06    1.8309190678305e-05
47.999999999999    1.74188181637089e-12    2.63571495662466e-12    4.97611783032743e-11    2.80589008014066e-10    7.05416035423574e-06    1.67507912653122e-05
48.4999999999989    1.12886267833624e-12    -9.75349089811872e-12    3.17412391307409e-11    1.75840399931499e-09    5.63393637972063e-06    4.19333280257469e-05
48.9999999999988    7.65934447148435e-13    1.54593266638821e-11    2.13977727706051e-12    3.98140998367308e-09    1.46279775671824e-06    6.30984150646658e-05
49.4999999999987    6.01941855881588e-13    2.56534447443782e-11    2.47863977124623e-12    4.74333931647512e-09    1.57436964250644e-06    6.88719051317332e-05
49.9999999999986    6.28006776074992e-13    3.22225844995267e-11    7.64421380398398e-12    3.44635707147455e-09    2.76481713753072e-06    5.87056817648302e-05
50.4999999999985    -3.96892004636108e-12    1.70858756632267e-12    3.99181552561251e-11    9.9674428093514e-10    6.31808161201716e-06    3.15712571959866e-05
50.9999999999984    5.19179330101227e-12    1.60214769435681e-11    1.82285814508383e-11    1.26248207694142e-09    4.26949428513628e-06    3.55314237955808e-05
