1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.25 3.880418746426269e-18 2.376615949963444e-16 18
0.5 2.7594855521206e-17 3.142931217988027e-15 62
0.75 6.732512182653821e-17 8.002499182986951e-15 98
1 2.056125774581994e-16 2.111457057153486e-14 210
1.25 4.266912756305611e-16 4.754639217517394e-14 350
1.5 6.951537906790406e-16 6.770361063324354e-14 450
1.75 1.073251193765727e-15 1.225297011573363e-13 602
2 1.580209486085302e-15 1.636309812246091e-13 762
2.25 2.542027182358542e-15 2.926522937493727e-13 1142
2.5 3.138430670239063e-15 3.96518579974052e-13 1250
2.75 4.030300446731502e-15 4.873139837159697e-13 1458
3 5.24703794797609e-15 6.507438527960944e-13 1814
3.25 6.865878625454799e-15 8.501756858544588e-13 2178
3.5 8.452883151695399e-15 1.091239817858855e-12 2498
3.75 9.282963305843073e-15 1.226971018274862e-12 2622
4 5.791422665284911e-15 7.935646483540715e-13 3338
4.25 9.336755546997509e-47 1.261633044279009e-44 3722
4.5 1.087131576812977e-46 1.250801786228402e-44 4170
4.75 9.747021398635874e-47 1.29078197007921e-44 4358
5 1.105012796863581e-46 1.346746252280095e-44 5034
5.25 1.201674338763917e-46 1.558944970641494e-44 5714
5.5 1.311694910694665e-46 1.633113655649225e-44 5982
5.75 1.333832544085688e-46 1.722849699194726e-44 6602
6 1.425140367547227e-46 1.682535708403974e-44 7130
6.25 1.596970512272426e-46 2.076263091570109e-44 8034
6.5 1.74903392890968e-46 2.165768995394891e-44 8606
6.75 1.72189738021148e-46 2.228608084282395e-44 9066
7 1.749665027298344e-46 2.323842839905176e-44 9962
7.25 1.786596054654608e-46 2.267371090612708e-44 10550
7.5 1.768397077907266e-46 2.238361864087751e-44 11226
7.75 1.918185519107526e-46 2.253610499564382e-44 12146
8 1.783823907473572e-46 2.249765866145939e-44 12606
8.25 1.881198123966394e-46 2.356493451667031e-44 13802
8.5 2.121735950966526e-46 2.610452925259391e-44 14754
8.75 2.326386018504731e-46 2.853752529750745e-44 15194
9 2.54355872345251e-46 3.144776875621016e-44 16454
9.25 2.839470444202021e-46 3.567545922812924e-44 17154
9.5 2.840829218120154e-46 3.594390815764552e-44 18266
9.75 2.754949873370956e-46 3.424519141878176e-44 18750
10 2.962793397413554e-46 3.588522665429471e-44 20234
10.25 2.967173708791467e-46 3.764499771039438e-44 21450
10.5 3.18273108941164e-46 3.9421804394934e-44 21962
10.75 3.181911863221794e-46 4.056076616601634e-44 23462
