1:binCentralValue 2:valuesAverage 3:multiplicity
0.353553 0 18
0.707106 0 62
1.06066 0 98
1.41421 0 210
1.76777 0 350
2.12132 0 450
2.47487 0 602
2.82842 0 762
3.18198 0 1142
3.53553 0 1250
3.88908 0 1458
4.24264 0 1814
4.59619 0 2178
4.94974 0 2498
5.3033 0 2622
5.65685 0 3338
6.0104 0 3722
6.36395 0 4170
6.71751 0 4358
7.07106 0 5034
7.42461 0 5714
7.77817 0 5982
8.13172 0 6602
8.48527 0 7130
8.83882 0 8034
9.19238 0 8606
9.54593 0 9066
9.89948 0 9962
10.253 0 10550
10.6066 0 11226
10.9601 0 12146
11.3137 0 12606
11.6672 0 13802
12.0208 0 14754
12.3744 0 15194
12.7279 0 16454
13.0815 0 17154
13.435 0 18266
13.7886 0 18750
14.1421 0 20234
14.4957 0 21450
14.8492 0 21962
15.2028 0 23462
15.5563 0 24042
15.9099 0 25946
16.2634 0 26118
16.617 0 27506
16.9705 0 29066
17.3241 0 30450
17.6776 0 31742
18.0312 0 32250
18.3848 0 34250
18.7383 0 35454
19.0919 0 36434
19.4454 0 37682
19.799 0 39294
20.1525 0 41426
20.5061 0 42066
20.8596 0 43490
21.2132 0 45702
21.5667 0 46634
21.9203 0 48554
22.2738 0 48870
22.6274 0 50963
22.9809 0 51576
23.3345 0 49316
23.6881 0 49344
24.0416 0 47192
24.3952 0 47576
24.7487 0 45348
25.1023 0 44060
25.4558 0 43872
25.8094 0 41756
26.1629 0 41528
26.5165 0 39300
26.87 0 38276
27.2236 0 36900
27.5771 0 34724
27.9307 0 33960
28.2842 0 32144
28.6378 0 30704
28.9913 0 28896
29.3449 0 26924
29.6985 0 25656
30.052 0 23228
30.4056 0 21816
30.7591 0 19472
31.1127 0 17696
31.4662 0 15588
31.8198 0 13760
32.1733 0 11565
32.5269 0 10016
32.8804 0 8652
33.234 0 7652
33.5875 0 6542
33.9411 0 5478
34.2946 0 4886
34.6482 0 4068
35.0017 0 3326
35.3553 0 2696
35.7089 0 2304
36.0624 0 1934
36.416 0 1344
36.7695 0 848
37.1231 0 888
37.4766 0 584
37.8302 0 344
38.1837 0 102
38.5373 0 104
38.8908 0 24
39.2444 0 1

0.353553 8.499588308386551e-28 18
0.707106 3.252121278730179e-27 62
1.06066 6.329146341126109e-27 98
1.41421 9.840534894906705e-27 210
1.76777 1.246674724988729e-26 350
2.12132 1.055299241223996e-26 450
2.47487 6.811403985543376e-27 602
2.82842 3.112543628993626e-27 762
3.18198 2.295634885351925e-27 1142
3.53553 5.398430375860085e-27 1250
3.88908 1.314770988393183e-26 1458
4.24264 2.396305635419344e-26 1814
4.59619 3.956366393843842e-26 2178
4.94974 5.073235176654639e-26 2498
5.3033 4.913905075142008e-26 2622
5.65685 5.471594228978839e-26 3338
6.0104 4.788136048646075e-26 3722
6.36395 3.65255198212301e-26 4170
6.71751 2.53891928660475e-26 4358
7.07106 1.770405210290213e-26 5034
7.42461 1.113088107614904e-26 5714
7.77817 6.198228076973724e-27 5982
8.13172 3.466491711738086e-27 6602
