1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.353553 1.287138964691495e-16 7.176097428982878e-16 18
0.707106 7.510415141783803e-16 3.548199401141654e-15 62
1.06066 1.68962504985621e-15 1.292358659437846e-14 98
1.41421 4.855812024956607e-15 3.666554768009893e-14 210
1.76777 1.006739752738294e-14 9.132527557533679e-14 350
2.12132 1.386248245638687e-14 1.356270506502339e-13 450
2.47487 1.814864623218021e-14 2.37641051580851e-13 602
2.82842 2.677731635060286e-14 3.413536345146393e-13 762
3.18198 4.11437688394983e-14 6.709807294649739e-13 1142
3.53553 4.555987860462719e-14 8.630239159476556e-13 1250
3.88908 5.510599762014198e-14 1.181064327220649e-12 1458
4.24264 7.154288387611076e-14 1.725949146268384e-12 1814
4.59619 8.679773433720763e-14 2.308350214491328e-12 2178
4.94974 9.540236989233734e-14 3.075327198748895e-12 2498
5.3033 1.084341104547457e-13 3.568208638614046e-12 2622
5.65685 6.253790035010831e-14 2.423405956828616e-12 3338
6.0104 6.446959498753477e-33 1.871433105175083e-33 3722
6.36395 4.510686504164446e-33 3.62842489045875e-33 4170
6.71751 6.133513925570197e-33 3.034111513686457e-33 4358
7.07106 1.924442925860206e-32 4.92331099455591e-33 5034
7.42461 5.139921070635521e-33 2.66147664958267e-33 5714
7.77817 6.888523111410015e-33 2.58529491021876e-33 5982
8.13172 8.679522493012338e-33 2.833042040199894e-33 6602
8.48527 1.157617506964707e-32 1.112992287927284e-32 7130
8.83882 1.03073089427697e-32 3.269344260187373e-33 8034
9.19238 1.145817365226802e-32 4.915059310539232e-33 8606
9.54593 9.091497372474253e-33 4.269792060325167e-33 9066
9.89948 1.249816787615079e-32 1.358249274816706e-32 9962
10.253 1.191304828991776e-32 3.513107666257844e-33 10550
10.6066 1.515294456779785e-32 5.399617290938197e-33 11226
10.9601 1.28018999240052e-32 7.213691018616785e-33 12146
11.3137 1.011201016575824e-31 4.34970451384004e-32 12606
11.6672 2.430389802545095e-32 8.48925388629409e-33 13802
12.0208 2.551074588380764e-32 9.680783809225354e-33 14754
12.3744 2.221555622905214e-32 7.023221538818098e-33 15194
12.7279 3.155239234852379e-32 1.160566447514216e-32 16454
13.0815 1.786994594033955e-32 7.752794576329905e-33 17154
13.435 3.067742861109021e-32 1.074679705994133e-32 18266
13.7886 2.424606808938184e-32 1.002280785428993e-32 18750
14.1421 3.401599650786272e-32 1.343117509352387e-32 20234
14.4957 2.496543190687973e-32 1.289842641237665e-32 21450
14.8492 2.870812129356906e-32 9.465161213627383e-33 21962
15.2028 2.857336829687189e-32 1.170735203046223e-32 23462
15.5563 3.830892390877557e-32 2.114771172420976e-32 24042
15.9099 2.698770510727888e-32 1.374087227964459e-32 25946
16.2634 3.67766802607874e-32 1.107654204408577e-32 26118
