1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.353553 0.04196905000992172 0 18
0.707106 0.4071414585060485 0 62
1.06066 0.615060488501602 0 98
1.41421 1.291076237514056 0 210
1.76777 2.232922503252946 0 350
2.12132 2.92657513776946 0 450
2.47487 3.833531014456442 0 602
2.82842 4.342773808511701 0 762
3.18198 6.211644411226868 0 1142
3.53553 5.888382764919545 0 1250
3.88908 6.147655487494013 0 1458
4.24264 6.930688242682193 0 1814
4.59619 6.49460081308178 0 2178
4.94974 5.941173437259557 0 2498
5.3033 5.319385986517112 0 2622
5.65685 5.857928372227079 0 3338
6.0104 6.13598718052421 0 3722
6.36395 6.370150254914212 0 4170
6.71751 6.096231820398518 0 4358
7.07106 6.581656944423012 0 5034
7.42461 6.807300658834904 0 5714
7.77817 6.303435478193537 0 5982
8.13172 6.280324525683152 0 6602
8.48527 5.778824994249427 0 7130
8.83882 5.460172017772081 0 8034
9.19238 4.499657750559223 0 8606
9.54593 3.639216609313652 0 9066
9.89948 2.722266513660511 0 9962
10.253 1.831890784119407 0 10550
10.6066 0.9641723616999148 0 11226
10.9601 0.3752849636383879 0 12146
11.3137 0.1330099492164327 0 12606
11.6672 0.1199782535604498 0 13802
12.0208 0.1075835019587221 0 14754
12.3744 0.09483286094609503 0 15194
12.7279 0.0859310864282561 0 16454
13.0815 0.07802682493641133 0 17154
13.435 0.06945675348042296 0 18266
13.7886 0.0620010385451319 0 18750
14.1421 0.05543926291016825 0 20234
14.4957 0.0499109321807748 0 21450
14.8492 0.04278958204495973 0 21962
15.2028 0.03734354257206747 0 23462
15.5563 0.03229679447241787 0 24042
15.9099 0.02897674054490172 0 25946
16.2634 0.0238933027208772 0 26118
16.617 0.02059881339079922 0 27506
16.9705 0.01756145741483101 0 29066
17.3241 0.01481079490020968 0 30450
17.6776 0.01184380971436861 0 31742
18.0312 0.009636982942480887 0 32250
18.3848 0.008109996310184494 0 34250
18.7383 0.006750513965583736 0 35454
19.0919 0.005482411656710054 0 36434
19.4454 0.004565169808166142 0 37682
19.799 0.003920660441549827 0 39294
20.1525 0.003352924939024702 0 41426
20.5061 0.002882586586200552 0 42066
20.8596 0.002549255149416345 0 43490
21.2132 0.00229912952257142 0 45702
21.5667 0.002024760918130823 0 46634
21.9203 0.001834124289061772 0 48554
22.2738 0.001621309491748168 0 48870
22.6274 0.001489986637842536 0 50963
22.9809 0.001304569941778823 0 51576
23.3345 0.001066666064700562 0 49316
23.6881 0.0009016528885164252 0 49344
24.0416 0.0007482088441068404 0 47192
24.3952 0.0006512505192975613 0 47576
24.7487 0.000538406773778437 0 45348
25.1023 0.0004501241236930074 0 44060
25.4558 0.0003939970613392476 0 43872
25.8094 0.0003213521442790893 0 41756
26.1629 0.0002804468672683074 0 41528
26.5165 0.0002325007444452452 0 39300
26.87 0.000198931513004568 0 38276
27.2236 0.000168444693575306 0 36900
27.5771 0.0001403909615754591 0 34724
27.9307 0.0001220848786846309 0 33960
28.2842 0.0001045475695116849 0 32144
28.6378 8.790539984275073e-05 0 30704
28.9913 7.506650411446122e-05 0 28896
29.3449 6.423785068827974e-05 0 26924
29.6985 5.555277144582802e-05 0 25656
30.052 4.542422887236922e-05 0 23228
30.4056 3.977117744064414e-05 0 21816
30.7591 3.244402005643349e-05 0 19472
31.1127 2.728502434394141e-05 0 17696
31.4662 2.256684111190479e-05 0 15588
31.8198 1.759201819860885e-05 0 13760
32.1733 1.338245498794846e-05 0 11565
32.5269 1.043700655332731e-05 0 10016
32.8804 8.691651056124316e-06 0 8652
33.234 7.003208563253159e-06 0 7652
33.5875 5.480253422222973e-06 0 6542
33.9411 4.320474259502749e-06 0 5478
34.2946 3.669840284857848e-06 0 4886
34.6482 2.775546231255334e-06 0 4068
35.0017 2.178383771353779e-06 0 3326
35.3553 1.667843045917361e-06 0 2696
35.7089 1.377282511820888e-06 0 2304
36.0624 1.178502428391957e-06 0 1934
36.416 7.485968148389387e-07 0 1344
36.7695 4.518847613938053e-07 0 848
37.1231 4.690840606012657e-07 0 888
37.4766 2.685190232946679e-07 0 584
37.8302 1.783604606630425e-07 0 344
38.1837 5.338755636197643e-08 0 102
38.5373 5.825107116809991e-08 0 104
38.8908 6.840543609171097e-09 0 24
39.2444 3.663284704366484e-10 0 1

0.353553 0.01233879754410758 4.948299637987241e-06 18
0.707106 0.08122510605844921 4.789289122413486e-05 62
1.06066 0.221227884372381 5.926363614991179e-05 98
1.41421 0.491905725906875 0.0001801117702241122 210
1.76777 0.897869488341928 0.0003419803877012279 350
2.12132 1.306474705892081 0.0005102060679134517 450
2.47487 1.6742509598411 0.0006680577264827168 602
2.82842 1.937254728852234 0.0008601611150548549 762
3.18198 2.670247673799872 0.001215568313320396 1142
3.53553 2.515244628577253 0.001393526223089749 1250
3.88908 2.505720967476319 0.001611272677122027 1458
4.24264 2.883080116177336 0.002028859753703401 1814
4.59619 2.610552165754349 0.002239323860470581 2178
4.94974 2.262809962034349 0.002618325000240786 2498
5.3033 1.927774670758823 0.00262703476644388 2622
5.65685 2.140416385931142 0.003451822272044751 3338
6.0104 2.368380342459534 0.003950811850800453 3722
