1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.353553 1.724921410306453 0 18
0.707106 3.024123949442544 0 62
1.06066 7.064762071500375 0 98
1.41421 9.337180314469357 0 210
1.76777 14.08286772273903 0 350
2.12132 18.6365171120259 0 450
2.47487 25.24875668233673 0 602
2.82842 26.28779406657747 0 762
3.18198 42.17715924570932 0 1142
3.53553 44.25027926155669 0 1250
3.88908 49.71092581706305 0 1458
4.24264 64.03882377049472 0 1814
4.59619 70.02290732384682 0 2178
4.94974 83.13601436358043 0 2498
5.3033 82.30017889701413 0 2622
5.65685 49.8600915432007 0 3338
6.0104 2.343179035025818e-12 0 3722
6.36395 2.054616968378936e-12 0 4170
6.71751 1.825186209528698e-12 0 4358
7.07106 1.695888754164759e-12 0 5034
7.42461 1.542179853067121e-12 0 5714
7.77817 1.275506947189844e-12 0 5982
8.13172 1.104940128238724e-12 0 6602
8.48527 9.060964887582749e-13 0 7130
8.83882 7.61163113896594e-13 0 8034
9.19238 5.86926699069005e-13 0 8606
9.54593 4.113262997806747e-13 0 9066
9.89948 2.809009997833493e-13 0 9962
10.253 1.63377996197285e-13 0 10550
10.6066 7.558308789747122e-14 0 11226
10.9601 2.056836735819814e-14 0 12146
11.3137 5.858496541892929e-16 0 12606
11.6672 5.840707992795467e-21 0 13802
12.0208 6.156972000065148e-21 0 14754
12.3744 6.286817321583194e-21 0 15194
12.7279 6.644654955568553e-21 0 16454
13.0815 6.881961093539908e-21 0 17154
13.435 7.013861376938886e-21 0 18266
13.7886 7.150064532087912e-21 0 18750
14.1421 7.597019644354599e-21 0 20234
14.4957 8.00513859356335e-21 0 21450
14.8492 8.002588968380248e-21 0 21962
15.2028 8.469147825822735e-21 0 23462
15.5563 8.760613408799988e-21 0 24042
15.9099 9.261796952253541e-21 0 25946
16.2634 9.172951013371136e-21 0 26118
16.617 9.536056882603802e-21 0 27506
16.9705 9.954212477576566e-21 0 29066
17.3241 1.037166634552209e-20 0 30450
17.6776 1.079976158420447e-20 0 31742
18.0312 1.093765097475799e-20 0 32250
18.3848 1.131754281890007e-20 0 34250
18.7383 1.16599001254242e-20 0 35454
19.0919 1.18739252860947e-20 0 36434
19.4454 1.23998083424039e-20 0 37682
19.799 1.314308744708634e-20 0 39294
20.1525 1.366842502683832e-20 0 41426
20.5061 1.382689235379708e-20 0 42066
20.8596 1.446269451990853e-20 0 43490
21.2132 1.504106406692722e-20 0 45702
21.5667 1.559688475573713e-20 0 46634
21.9203 1.569074575804344e-20 0 48554
22.2738 1.594393062478081e-20 0 48870
22.6274 1.657668059227356e-20 0 50963
22.9809 1.654397735890606e-20 0 51576
23.3345 1.553176216485516e-20 0 49316
23.6881 1.533765398401168e-20 0 49344
24.0416 1.444620824187195e-20 0 47192
24.3952 1.442852918956142e-20 0 47576
24.7487 1.351330496331426e-20 0 45348
25.1023 1.295892081644204e-20 0 44060
25.4558 1.277833273824768e-20 0 43872
25.8094 1.210396123481793e-20 0 41756
26.1629 1.195132078342569e-20 0 41528
26.5165 1.134388775145305e-20 0 39300
26.87 1.096263711528041e-20 0 38276
27.2236 1.055386525964336e-20 0 36900
27.5771 9.755642692868617e-21 0 34724
27.9307 9.578276689288331e-21 0 33960
28.2842 9.024037655123479e-21 0 32144
28.6378 8.574144303506059e-21 0 30704
28.9913 7.956274372902438e-21 0 28896
29.3449 7.579530807002934e-21 0 26924
29.6985 7.214002175077118e-21 0 25656
30.052 6.456100396353986e-21 0 23228
30.4056 6.105322471968749e-21 0 21816
30.7591 5.37109773046127e-21 0 19472
31.1127 4.844037641725129e-21 0 17696
31.4662 4.262231419546459e-21 0 15588
31.8198 3.679280167166395e-21 0 13760
32.1733 3.024125203080913e-21 0 11565
32.5269 2.634334357656555e-21 0 10016
32.8804 2.25274771909764e-21 0 8652
33.234 1.992859239741296e-21 0 7652
33.5875 1.646633993901473e-21 0 6542
33.9411 1.443480038665442e-21 0 5478
34.2946 1.311610615839905e-21 0 4886
34.6482 1.058029645509435e-21 0 4068
35.0017 8.580213111017373e-22 0 3326
35.3553 6.980845370458842e-22 0 2696
35.7089 6.184344362184546e-22 0 2304
36.0624 4.947055308011111e-22 0 1934
36.416 3.547654795786758e-22 0 1344
36.7695 2.445955848864168e-22 0 848
37.1231 2.350961476832982e-22 0 888
37.4766 1.564408589857086e-22 0 584
37.8302 1.00549703419491e-22 0 344
38.1837 3.257906616548975e-23 0 102
38.5373 2.823839209679005e-23 0 104
38.8908 5.161833485055657e-24 0 24
39.2444 7.675570645196033e-26 0 1

0.353553 0.5054220200988112 5.32321601594472e-16 18
0.707106 0.9123825496743614 7.234823848721375e-15 62
1.06066 2.194674019652534 3.343539558811714e-14 98
1.41421 3.064364203948486 1.374187028449551e-13 210
1.76777 4.97263531810692 3.809885817874158e-13 350
2.12132 7.053216206959635 7.318287655972135e-13 450
2.47487 10.53337302074401 1.228683175379647e-12 602
2.82842 11.85502532422559 1.992298481486067e-12 762
3.18198 21.00733061440513 3.170173228262166e-12 1142
3.53553 24.18856229916383 3.776992641047778e-12 1250
3.88908 30.17357653257133 4.233006372569283e-12 1458
4.24264 41.61702854599241 5.008937826181305e-12 1814
4.59619 49.41550720187266 5.220224451495049e-12 2178
4.94974 64.0536426150307 5.81064734023027e-12 2498
5.3033 66.89087365701292 4.943104828060047e-12 2622
5.65685 42.57585849750633 4.80334599082598e-12 3338
6.0104 1.3411564663198e-11 3.925465793999189e-12 3722
6.36395 1.103810097262567e-11 3.346464468832449e-12 4170
6.71751 9.223763062144775e-12 2.547806496596181e-12 4358
7.07106 7.842294909077133e-12 2.229793743005232e-12 5034
7.42461 7.029840865525918e-12 1.825691615999774e-12 5714
7.77817 5.697236036163798e-12 1.307460030265181e-12 5982
8.13172 5.204173464679391e-12 1.024754366584318e-12 6602
8.48527 4.66363113252584e-12 7.479532410717927e-13 7130
8.83882 4.019940276606687e-12 5.359016240510192e-13 8034
9.19238 3.564102702586991e-12 3.452370060690133e-13 8606
9.54593 2.793947745759437e-12 2.057872627300214e-13 9066
9.89948 2.040755198784278e-12 1.159568003028156e-13 9962
10.253 1.324019043959732e-12 5.048913361665232e-14 10550
10.6066 6.412703910112876e-13 1.69892073787245e-14 11226
10.9601 1.825946854443454e-13 2.668846228104253e-15 12146
11.3137 5.5249299315793e-15 2.386796026547644e-17 12606
