1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.353553 3.786231432206493e-16 5.269862158003179e-16 18
0.707106 1.139786857946272e-15 2.183588601246737e-15 62
1.06066 1.940192630489444e-15 5.040410952155844e-15 98
1.41421 4.488208139992818e-15 1.462423952245721e-14 210
1.76777 7.912122896583569e-15 3.498881616976961e-14 350
2.12132 9.911963761367129e-15 5.696294001047425e-14 450
2.47487 1.322806381781002e-14 1.040391726797759e-13 602
2.82842 1.849943610068493e-14 1.529368384779006e-13 762
3.18198 2.733445004665202e-14 2.847445586543346e-13 1142
3.53553 2.693926115005519e-14 3.636736981824136e-13 1250
3.88908 3.286041866301737e-14 5.345586245571443e-13 1458
4.24264 4.335817382547904e-14 7.500519912258731e-13 1814
4.59619 4.86817065064929e-14 1.104568895634335e-12 2178
4.94974 5.394803195189738e-14 1.394882943797234e-12 2498
5.3033 5.903741376747934e-14 1.675251824915258e-12 2622
5.65685 3.638786793174983e-14 1.129765354797426e-12 3338
6.0104 7.818614337147235e-46 1.502019690414969e-44 3722
6.36395 8.784164016592345e-46 1.516497181385331e-44 4170
6.71751 8.566062174254248e-46 1.595917512952648e-44 4358
7.07106 9.283832167542684e-46 1.558615095652518e-44 5034
7.42461 1.007564955422234e-45 1.811087865382762e-44 5714
7.77817 1.102951367770532e-45 1.956882833941884e-44 5982
8.13172 1.122982283116397e-45 1.966737560840485e-44 6602
8.48527 1.233713937662724e-45 2.150999710759195e-44 7130
8.83882 1.369612964046007e-45 2.357721480766688e-44 8034
9.19238 1.460908088053882e-45 2.499108024600675e-44 8606
9.54593 1.398096129038802e-45 2.54102008383575e-44 9066
9.89948 1.498783674272145e-45 2.567171819087657e-44 9962
10.253 1.600547529388198e-45 2.675064328472012e-44 10550
10.6066 1.623288754690272e-45 2.664029657619441e-44 11226
10.9601 1.732522744337986e-45 2.729454924047633e-44 12146
11.3137 1.607048669504094e-45 2.720355648709692e-44 12606
11.6672 1.701431872376819e-45 2.828372595649846e-44 13802
