1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.353553 4.498432388113012e-16 5.496748254850472e-16 18
0.707106 1.363163412496009e-15 2.652672831252296e-15 62
1.06066 1.893358578070219e-15 3.031282035009693e-15 98
1.41421 4.383229689463903e-15 1.499321460453102e-14 210
1.76777 9.309359656349985e-15 3.620633595545462e-14 350
2.12132 9.55757518155524e-15 5.412948699377674e-14 450
2.47487 1.335084429890068e-14 9.411223065633696e-14 602
2.82842 1.870655139570693e-14 1.571733491620008e-13 762
3.18198 2.785375726093735e-14 2.920804406681615e-13 1142
3.53553 2.662381303325458e-14 3.977919378017696e-13 1250
3.88908 3.297328498335308e-14 5.627599355229164e-13 1458
4.24264 4.126119452248826e-14 8.115893009597484e-13 1814
4.59619 4.80778374046755e-14 1.051762706198946e-12 2178
4.94974 5.790085515356649e-14 1.433862508388212e-12 2498
5.3033 5.896415163061669e-14 1.674602880364986e-12 2622
5.65685 3.544502971696339e-14 1.156182288466206e-12 3338
6.0104 8.134224384118755e-46 1.531612505279282e-44 3722
6.36395 8.950091610911564e-46 1.577544148051337e-44 4170
6.71751 8.830316632363647e-46 1.546822508052961e-44 4358
7.07106 9.537096620824737e-46 1.598549682411075e-44 5034
7.42461 1.110996802492508e-45 1.938647546320794e-44 5714
7.77817 1.130693640351825e-45 1.864294830290263e-44 5982
8.13172 1.124513143791949e-45 2.061677771018312e-44 6602
8.48527 1.213572171000732e-45 2.251482784806991e-44 7130
8.83882 1.348030730257866e-45 2.31745783533757e-44 8034
9.19238 1.432443231424962e-45 2.595523004412103e-44 8606
9.54593 1.480649578683453e-45 2.56036219657163e-44 9066
9.89948 1.58846755817913e-45 2.69715896406789e-44 9962
10.253 1.598773778038318e-45 2.623980634963281e-44 10550
10.6066 1.579440662527549e-45 2.670850923316356e-44 11226
10.9601 1.762561479057265e-45 2.985109119722341e-44 12146
11.3137 1.579319903720053e-45 2.5378956515034e-44 12606
11.6672 1.679269961655531e-45 2.897931547251468e-44 13802
12.0208 1.965851859522859e-45 2.947048506388168e-44 14754
12.3744 2.080170443441698e-45 3.182445832289613e-44 15194
12.7279 2.420140880002899e-45 3.584992525382276e-44 16454
13.0815 2.416597789133346e-45 4.230529274989483e-44 17154
13.435 2.413675008576369e-45 4.224879799725166e-44 18266
13.7886 2.32198085007724e-45 4.019944146476197e-44 18750
14.1421 2.506760453564808e-45 4.446338488713421e-44 20234
14.4957 2.660758861526301e-45 4.665759175356421e-44 21450
14.8492 2.665319165447516e-45 4.577619201764819e-44 21962
15.2028 2.679706362694733e-45 4.966953837778611e-44 23462
15.5563 2.809412089851394e-45 5.062973009900565e-44 24042
15.9099 2.949668788731817e-45 5.154062363765905e-44 25946
16.2634 2.899363019967596e-45 5.130127301763415e-44 26118
16.617 2.974052378921353e-45 5.154301577436291e-44 27506
16.9705 3.012591906940922e-45 5.05317677970748e-44 29066
17.3241 3.304925417677431e-45 5.513964452146264e-44 30450
17.6776 3.591752495155091e-45 6.317725958894439e-44 31742
18.0312 3.973498687720483e-45 7.154429426889684e-44 32250
18.3848 4.030430882770273e-45 7.305885228522205e-44 34250
18.7383 4.687136799250562e-45 7.859749834206743e-44 35454
19.0919 4.847776160173199e-45 9.255964434982066e-44 36434
19.4454 4.716359971238445e-45 8.19856462758841e-44 37682
19.799 4.938627606667027e-45 8.538056788020276e-44 39294
20.1525 5.536724942810178e-45 9.459866346355455e-44 41426
20.5061 5.657108775653138e-45 9.176497799012152e-44 42066
20.8596 5.758947801176021e-45 9.794404023577958e-44 43490
21.2132 5.803283506957402e-45 1.032683681942761e-43 45702
21.5667 6.136414821683766e-45 1.02462157065927e-43 46634
21.9203 6.786485881103969e-45 1.09573439106294e-43 48554
22.2738 6.958019590092626e-45 1.031412567292123e-43 48870
22.6274 6.071931607216429e-45 1.036191329469e-43 50963
22.9809 4.675584114962537e-45 8.196818139934311e-44 51576
23.3345 3.762025344877838e-45 6.502376467730758e-44 49316
23.6881 3.593529946868679e-45 6.281693119667498e-44 49344
24.0416 3.456912090511419e-45 5.772657018428704e-44 47192
24.3952 3.430293164111611e-45 5.756183681618766e-44 47576
24.7487 3.218847070576965e-45 5.485472746200494e-44 45348
25.1023 3.188912804948803e-45 5.300486824524354e-44 44060
25.4558 3.11802542694646e-45 5.345031265606906e-44 43872
25.8094 2.883200324848956e-45 5.015142205266625e-44 41756
26.1629 2.940685103198113e-45 5.042014134664444e-44 41528
26.5165 2.789566414334677e-45 4.748100491593782e-44 39300
26.87 2.808633306846243e-45 4.606850325206871e-44 38276
27.2236 2.673928597454172e-45 4.47122528331406e-44 36900
27.5771 2.384230222072323e-45 4.13647301009753e-44 34724
27.9307 2.462243966500818e-45 4.204100879602467e-44 33960
28.2842 2.246645472749229e-45 3.829538383572333e-44 32144
28.6378 2.257844171714643e-45 3.818603182807219e-44 30704
28.9913 2.035978875162398e-45 3.633957792756415e-44 28896
29.3449 1.873433593680888e-45 3.240627794713096e-44 26924
29.6985 1.894051019047033e-45 3.136317192342815e-44 25656
30.052 1.578760115773681e-45 2.752632218770394e-44 23228
30.4056 1.661024695520969e-45 2.605852111041572e-44 21816
30.7591 1.292696457221492e-45 2.240945305921843e-44 19472
31.1127 1.209288468109567e-45 1.989213291463453e-44 17696
31.4662 1.026481789197002e-45 1.69645148446095e-44 15588
31.8198 8.11343802538997e-46 1.348650666426899e-44 13760
32.1733 6.39885345337689e-46 1.094024817384159e-44 11565
32.5269 5.679444924825421e-46 9.517258357204274e-45 10016
32.8804 4.955308221232412e-46 8.23242533906663e-45 8652
33.234 4.593224209666964e-46 7.497680477034766e-45 7652
33.5875 3.761461819642376e-46 6.616447592873529e-45 6542
33.9411 3.180954199467146e-46 5.295286021720924e-45 5478
34.2946 2.900247340528614e-46 4.861729392996811e-45 4886
34.6482 2.542384349052182e-46 4.200994407215837e-45 4068
35.0017 2.11621943687104e-46 3.418499734399229e-45 3326
35.3553 1.695935579523943e-46 2.954198563040544e-45 2696
35.7089 1.531706544992885e-46 2.555440532280726e-45 2304
36.0624 1.333092707675293e-46 2.174684259738738e-45 1934
36.416 9.012510428131117e-47 1.593453790725452e-45 1344
36.7695 6.116571421136372e-47 8.973824766968355e-46 848
37.1231 5.948390319283283e-47 9.610694919760143e-46 888
37.4766 4.121138726123981e-47 6.626997065384794e-46 584
37.8302 2.15699027032021e-47 3.608621565524133e-46 344
38.1837 6.520060964156877e-48 8.817450493020649e-47 102
38.5373 7.892796761953489e-48 1.042061741337027e-46 104
38.8908 2.036365365865973e-48 2.554446157480009e-47 24
39.2444 1.810131964198611e-50 8.976069255396436e-50 1

0.353553 1.631116557044288e-16 4.427811632865843e-17 18
0.707106 4.11611625073474e-16 2.604771355069528e-16 62
1.06066 7.540327864384397e-16 5.373222677796011e-16 98
1.41421 1.346324395599496e-15 2.218936897896675e-15 210
1.76777 2.318268992025516e-15 7.459436684296603e-15 350
2.12132 2.215059657752536e-15 1.075240923925026e-14 450
2.47487 3.166291842413805e-15 2.133485520955788e-14 602
2.82842 3.934904108335854e-15 3.593253593260413e-14 762
3.18198 5.991930572920894e-15 6.459484354859131e-14 1142
3.53553 6.138524276968062e-15 8.902985536490684e-14 1250
3.88908 7.338043053048407e-15 1.2670233106358e-13 1458
4.24264 8.901370869842215e-15 1.893310525156617e-13 1814
4.59619 1.051133303632516e-14 2.402497807195705e-13 2178
4.94974 1.277989702955976e-14 3.257017561201058e-13 2498
5.3033 1.349600220441874e-14 3.698667384738285e-13 2622
5.65685 8.061454992715004e-15 2.54233962098398e-13 3338
6.0104 4.867783360207305e-46 1.487331908771847e-44 3722
6.36395 4.175410941493336e-46 1.958449228215721e-44 4170
6.71751 3.708275702299818e-46 2.14965259353266e-44 4358
7.07106 3.569374646047312e-46 2.430270430716608e-44 5034
7.42461 4.008245815774121e-46 2.983436532342005e-44 5714
7.77817 4.107926024444676e-46 3.0022020012364e-44 5982
8.13172 5.116692483086419e-46 3.026493053793776e-44 6602
8.48527 5.877742067932248e-46 2.802821478875233e-44 7130
8.83882 7.578350195859817e-46 2.817883847108647e-44 8034
9.19238 9.078068970974447e-46 2.874348555816862e-44 8606
9.54593 9.635197641917402e-46 2.971499759284623e-44 9066
9.89948 1.001457061383707e-45 3.666843318419911e-44 9962
10.253 9.608855109643683e-46 4.57126224655757e-44 10550
10.6066 9.134530347790056e-46 5.773564615044611e-44 11226
10.9601 9.190334318354347e-46 7.474797248176698e-44 12146
11.3137 7.706206829862844e-46 8.793309276349298e-44 12606
11.6672 7.962031050247472e-46 1.062131667700744e-43 13802
12.0208 7.520782133834955e-46 1.315485755656716e-43 14754
12.3744 7.619944079433052e-46 1.47895459777724e-43 15194
12.7279 8.662147798050721e-46 1.797464122550161e-43 16454
13.0815 9.584991056169931e-46 1.840661786088499e-43 17154
13.435 1.102943987718627e-45 1.731552781977625e-43 18266
13.7886 1.215190450014011e-45 1.579169776435229e-43 18750
14.1421 1.444800000441605e-45 1.602608880846922e-43 20234
14.4957 1.656099458753162e-45 1.606386971807586e-43 21450
14.8492 1.759013760429867e-45 1.547373087006771e-43 21962
15.2028 1.890478003856965e-45 1.635958927261647e-43 23462
15.5563 1.978707162921312e-45 1.679791516600464e-43 24042
15.9099 2.066521296133683e-45 1.98203947252739e-43 25946
16.2634 2.097437683827359e-45 2.181260607323388e-43 26118
16.617 2.075645408393571e-45 2.504403431029063e-43 27506
16.9705 2.043032859515369e-45 2.883296906858751e-43 29066
17.3241 2.228905068183499e-45 3.361311637684508e-43 30450
17.6776 2.334234923103744e-45 3.752001375844166e-43 31742
18.0312 2.50722542799733e-45 4.177040681675858e-43 32250
18.3848 2.49246909197659e-45 4.683670334041406e-43 34250
18.7383 2.770285044311253e-45 5.22849515219666e-43 35454
19.0919 2.843000396172358e-45 5.575304110547494e-43 36434
19.4454 2.770360110896774e-45 5.74833885469497e-43 37682
19.799 2.862378913788861e-45 6.155676484871652e-43 39294
20.1525 3.173829912712686e-45 6.763324601377004e-43 41426
20.5061 3.22920725068514e-45 6.791459789205495e-43 42066
20.8596 3.408369946455427e-45 7.321189392493921e-43 43490
21.2132 3.569468700131529e-45 7.601970631560424e-43 45702
21.5667 3.722558182075056e-45 7.873500557712613e-43 46634
21.9203 3.914352451535508e-45 8.540192543273741e-43 48554
22.2738 4.152220594053389e-45 8.829815883840995e-43 48870
22.6274 3.945959334226358e-45 8.939142215435915e-43 50963
22.9809 3.482281360608416e-45 8.439061622665709e-43 51576
