1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.353553 2.190108276933572 0 18
0.707106 10.20865908887514 0 62
1.06066 19.96505409895873 0 98
1.41421 22.31321452456658 0 210
1.76777 35.47714334523436 0 350
2.12132 39.37449474784041 0 450
2.47487 60.1111318107364 0 602
2.82842 58.75237930197274 0 762
3.18198 86.32187674584107 0 1142
3.53553 85.45769486114828 0 1250
3.88908 114.429435650031 0 1458
4.24264 123.1868660808336 0 1814
4.59619 148.8425665525561 0 2178
4.94974 167.9242673751193 0 2498
5.3033 175.0147788439757 0 2622
5.65685 105.487541633579 0 3338
6.0104 1.438310680248126e-12 0 3722
6.36395 1.386215987003993e-12 0 4170
6.71751 1.240162493835129e-12 0 4358
7.07106 1.145779745124987e-12 0 5034
7.42461 1.031883671949719e-12 0 5714
7.77817 8.49184140363953e-13 0 5982
8.13172 7.530068565303074e-13 0 6602
8.48527 6.178032458596248e-13 0 7130
8.83882 5.127777938342662e-13 0 8034
9.19238 3.80737476292193e-13 0 8606
9.54593 2.785897074683937e-13 0 9066
9.89948 1.93356275458005e-13 0 9962
10.253 1.093281473285798e-13 0 10550
10.6066 5.186973443138589e-14 0 11226
10.9601 1.373460025617054e-14 0 12146
11.3137 3.84679385468736e-16 0 12606
11.6672 1.520959294351825e-20 0 13802
12.0208 1.562886076091235e-20 0 14754
12.3744 1.572951353255051e-20 0 15194
12.7279 1.708246814079071e-20 0 16454
13.0815 1.757078008238745e-20 0 17154
13.435 1.809261036799699e-20 0 18266
13.7886 1.826413006766525e-20 0 18750
14.1421 1.91592272448927e-20 0 20234
14.4957 2.048547412687927e-20 0 21450
14.8492 2.032608239900315e-20 0 21962
15.2028 2.198392540537898e-20 0 23462
15.5563 2.175487431301729e-20 0 24042
15.9099 2.313413408420247e-20 0 25946
16.2634 2.38628510394516e-20 0 26118
16.617 2.434485711262146e-20 0 27506
16.9705 2.535872154138258e-20 0 29066
17.3241 2.636020047214519e-20 0 30450
17.6776 2.741279718283919e-20 0 31742
18.0312 2.759001742240028e-20 0 32250
18.3848 2.944237584674651e-20 0 34250
18.7383 3.023276130566025e-20 0 35454
19.0919 3.149440633290903e-20 0 36434
19.4454 3.160358536365329e-20 0 37682
19.799 3.304489323030222e-20 0 39294
20.1525 3.463557547390768e-20 0 41426
