1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.353553 5.414266956268028e-17 2.033057223413506e-16 18
0.707106 3.095340860843928e-16 2.781191127734946e-15 62
1.06066 6.993122884315634e-16 8.314534235539215e-15 98
1.41421 2.018269723161749e-15 2.149484876873028e-14 210
1.76777 4.233109497627571e-15 5.001325283592235e-14 350
2.12132 6.00854750651179e-15 7.852217538613236e-14 450
2.47487 8.766228846875719e-15 1.401209224746796e-13 602
2.82842 1.307835395925746e-14 1.972331959189316e-13 762
3.18198 2.049564290164444e-14 3.570794252159329e-13 1142
3.53553 2.110469269980853e-14 4.437907427796056e-13 1250
3.88908 2.662153670352262e-14 6.426542792569564e-13 1458
4.24264 3.608055691369771e-14 8.803120766129127e-13 1814
4.59619 4.149160109957345e-14 1.273231311879254e-12 2178
4.94974 4.687209690674651e-14 1.58514472299954e-12 2498
5.3033 5.209610593499274e-14 1.877415527167238e-12 2622
5.65685 3.243377336024675e-14 1.255615281197744e-12 3338
6.0104 3.820166792659852e-33 2.501830757365463e-33 3722
6.36395 5.28878038023458e-33 4.738322255030227e-33 4170
6.71751 3.195664744365628e-33 2.885577497070914e-33 4358
7.07106 3.784540477622947e-33 1.129152883023278e-32 5034
7.42461 8.5899023587169e-33 4.089386994052421e-33 5714
7.77817 4.383520106835376e-33 5.661038886641344e-33 5982
8.13172 4.621841106181886e-33 5.048721934024421e-33 6602
8.48527 1.665003381544117e-32 6.673551478770789e-33 7130
8.83882 6.098875075426766e-33 1.11373323643645e-32 8034
9.19238 5.864764527182223e-33 6.401290628867806e-33 8606
9.54593 7.741123826304616e-33 5.074070472374188e-33 9066
9.89948 7.792114671054759e-33 8.118957332658898e-33 9962
10.253 7.072368042118641e-33 6.795166701776852e-33 10550
10.6066 8.672342395460181e-33 9.468614202393841e-33 11226
10.9601 9.779739500999762e-33 1.500525801937984e-32 12146
11.3137 1.181952359798259e-32 1.220539499166135e-32 12606
11.6672 1.094574401764482e-32 1.871909542715036e-32 13802
12.0208 1.758060335905811e-32 1.574392084833074e-32 14754
12.3744 1.619245937648455e-32 1.558910125229112e-32 15194
12.7279 3.071181831462567e-32 1.407383099335029e-32 16454
13.0815 1.732738321268991e-32 1.515647764035049e-32 17154
13.435 2.834321138402171e-32 1.572886590888786e-32 18266
13.7886 1.874660640999486e-32 1.75846665034077e-32 18750
14.1421 2.328554733966473e-32 3.980279697193041e-32 20234
14.4957 2.611296149668997e-32 2.167155259791719e-32 21450
14.8492 2.122181999570861e-32 1.87739230242878e-32 21962
15.2028 2.441419675371925e-32 1.92668970811883e-32 23462
15.5563 2.072827450758854e-32 3.211970518560733e-32 24042
15.9099 2.092215587814406e-32 1.973787928844965e-32 25946
16.2634 2.368494325052585e-32 2.202817612660257e-32 26118
16.617 2.805959527975464e-32 2.100543433547333e-32 27506
16.9705 8.018830737250738e-32 4.200092491316328e-32 29066
17.3241 3.13692397310374e-32 2.939655879210751e-32 30450
17.6776 3.064062197084037e-32 2.990759414952312e-32 31742
18.0312 5.40188425347106e-32 2.729853042713027e-32 32250
18.3848 4.310643181291249e-32 6.170850336759843e-32 34250
18.7383 2.764916947096732e-32 3.418107794560277e-32 35454
19.0919 3.649185366273649e-32 4.122089858260169e-32 36434
19.4454 3.712090545746987e-32 3.034723437130453e-32 37682
19.799 6.827938964440343e-32 7.230408047305301e-32 39294
