1:binCentralValue 2:valuesAverage 3:multiplicity
0.25 0 18
0.5 0 62
0.75 0 98
1 0 210
1.25 0 350
1.5 0 450
1.75 0 602
2 0 762
2.25 0 1142
2.5 0 1250
2.75 0 1458
3 0 1814
3.25 0 2178
3.5 0 2498
3.75 0 2622
4 0 3338
4.25 0 3722
4.5 0 4170
4.75 0 4358
5 0 5034
5.25 0 5714
5.5 0 5982
5.75 0 6602
6 0 7130
6.25 0 8034
6.5 0 8606
6.75 0 9066
7 0 9962
7.25 0 10550
7.5 0 11226
7.75 0 12146
8 0 12606
8.25 0 13802
8.5 0 14754
8.75 0 15194
9 0 16454
9.25 0 17154
9.5 0 18266
9.75 0 18750
10 0 20234
10.25 0 21450
10.5 0 21962
10.75 0 23462
11 0 24042
11.25 0 25946
11.5 0 26118
11.75 0 27506
12 0 29066
12.25 0 30450
12.5 0 31742
12.75 0 32250
13 0 34250
13.25 0 35454
13.5 0 36434
13.75 0 37682
14 0 39294
14.25 0 41426
14.5 0 42066
14.75 0 43490
15 0 45702
15.25 0 46634
15.5 0 48554
15.75 0 48870
16 0 50963
16.25 0 51576
16.5 0 49316
16.75 0 49344
17 0 47192
17.25 0 47576
17.5 0 45348
17.75 0 44060
18 0 43872
18.25 0 41756
18.5 0 41528
18.75 0 39300
19 0 38276
19.25 0 36900
19.5 0 34724
19.75 0 33960
20 0 32144
20.25 0 30704
20.5 0 28896
20.75 0 26924
21 0 25656
21.25 0 23228
21.5 0 21816
21.75 0 19472
22 0 17696
22.25 0 15588
22.5 0 13760
22.75 0 11565
23 0 10016
23.25 0 8652
23.5 0 7652
23.75 0 6542
24 0 5478
24.25 0 4886
24.5 0 4068
24.75 0 3326
25 0 2696
25.25 0 2304
25.5 0 1934
25.75 0 1344
26 0 848
26.25 0 888
26.5 0 584
26.75 0 344
27 0 102
27.25 0 104
27.5 0 24
27.75 0 1

