1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.25 4.388971630956579e-17 6.511541096027648e-17 18
0.5 2.017761685326373e-16 6.85169645482068e-16 62
0.75 3.902692352291184e-16 1.096456602348246e-15 98
1 1.096440973971445e-15 5.198661237480573e-15 210
1.25 2.752520551626513e-15 1.197903072286982e-14 350
1.5 3.161077133851596e-15 1.739520483094479e-14 450
1.75 4.763907851738929e-15 3.008030878371899e-14 602
2 7.074800712875331e-15 4.819042651944558e-14 762
2.25 1.105954301571694e-14 8.716151746315753e-14 1142
2.5 1.096950515841921e-14 1.168586784670054e-13 1250
2.75 1.396533673733799e-14 1.617531047032005e-13 1458
3 1.787396028812776e-14 2.302762995969166e-13 1814
3.25 2.122353940479514e-14 2.935370222022412e-13 2178
3.5 2.596160839565052e-14 3.953699363927574e-13 2498
3.75 2.676635126445169e-14 4.575638461907397e-13 2622
4 1.621783178228585e-14 3.136044548650143e-13 3338
4.25 4.918911702604479e-33 2.350891756245575e-33 3722
4.5 7.798871218894891e-33 3.490576951514551e-33 4170
4.75 8.054279843820518e-33 2.224478660634821e-33 4358
5 1.032873170692835e-32 1.68069114911642e-33 5034
5.25 5.289215709667642e-33 2.497963444758091e-33 5714
5.5 8.403092104404049e-33 9.580705716548864e-33 5982
5.75 5.319912834201708e-33 4.289803314608803e-33 6602
6 1.235988682182202e-32 7.224391040787211e-33 7130
6.25 1.051212683410753e-32 2.574049433203167e-33 8034
6.5 2.551370425357173e-32 3.121248477741163e-33 8606
6.75 5.081476693630783e-33 3.944226699964972e-33 9066
7 1.086276545995054e-32 5.560747741352994e-33 9962
7.25 1.908160278583195e-32 5.861882618971958e-33 10550
7.5 1.177529037221377e-32 4.450001879872427e-33 11226
7.75 1.153239385840538e-32 4.651478320122987e-33 12146
8 1.750210279934607e-32 7.193366147917462e-33 12606
8.25 2.330780183018285e-32 6.829118950736366e-33 13802
8.5 1.654892020852552e-32 5.750398781558748e-33 14754
8.75 1.970727340752133e-32 6.345546611927918e-33 15194
9 4.224756530706087e-32 8.468478111795188e-33 16454
9.25 1.627246913712784e-32 5.994419009111447e-33 17154
9.5 2.06857627495114e-32 8.586157790577096e-33 18266
9.75 1.906529154702229e-32 5.86442725599807e-33 18750
10 9.591953887284277e-32 1.123818335738828e-32 20234
10.25 3.321888356222909e-32 9.662336117619778e-33 21450
10.5 2.147360859509973e-32 7.407141252443323e-33 21962
10.75 2.874432592064239e-32 7.909726898206618e-33 23462
11 2.412622605800059e-32 1.166287707983867e-32 24042
11.25 2.89198837555648e-32 1.029012739542429e-32 25946
11.5 2.650391907920663e-32 9.85645923320141e-33 26118
11.75 4.151836232568664e-32 1.360084511834278e-32 27506
12 6.762548560618744e-32 2.300971033809395e-32 29066
12.25 3.67144733569379e-32 1.657037007796566e-32 30450
12.5 3.608215187565975e-32 1.672346016881366e-32 31742
12.75 4.557318053751315e-32 1.524757492835596e-32 32250
13 5.476692042226635e-32 2.827126735944979e-32 34250
13.25 3.921246819289933e-32 1.426934086008514e-32 35454
13.5 4.146350050637223e-32 2.322240529668918e-32 36434
13.75 3.818434291553352e-32 1.983146121685585e-32 37682
14 5.055042889614767e-32 3.280261629607477e-32 39294
14.25 5.052383678220407e-32 1.721097187946956e-32 41426
14.5 5.401366019670879e-32 1.70657472805577e-32 42066
14.75 6.036873455149717e-32 2.660530105340535e-32 43490
15 5.172256339625292e-32 2.488416461046589e-32 45702
15.25 5.174556276407656e-32 2.02379652789395e-32 46634
15.5 9.040813121287959e-32 2.943180912191417e-32 48554
15.75 6.298881665269035e-32 1.833879225516683e-32 48870
16 7.694877098422756e-32 2.722296483408339e-32 50963
16.25 7.240169962792372e-32 2.239108166770453e-32 51576
16.5 5.601282124743128e-32 2.285685894668447e-32 49316
16.75 5.620997592883753e-32 2.124165958757892e-32 49344
17 4.734170742517994e-32 2.177236196512446e-32 47192
17.25 4.906103209608191e-32 2.075087882824784e-32 47576
17.5 5.027527884947519e-32 2.020210773842878e-32 45348
17.75 5.345703935769626e-32 1.752819840373037e-32 44060
18 4.859536546166642e-32 2.493973445788859e-32 43872
18.25 4.169237510197308e-32 1.694397956847244e-32 41756
18.5 4.830903606613809e-32 1.589737046149852e-32 41528
18.75 4.832734778821422e-32 1.523351236301162e-32 39300
19 3.599204016131637e-32 1.482156900773468e-32 38276
19.25 3.718080037305964e-32 1.373203249899525e-32 36900
19.5 4.200136421949937e-32 1.709009520705267e-32 34724
19.75 3.321934881067738e-32 1.385720786084175e-32 33960
20 2.787798931736744e-32 1.416402389650022e-32 32144
20.25 3.810995681757768e-32 1.377179753259747e-32 30704
20.5 2.839771797380535e-32 1.191703229199409e-32 28896
20.75 2.975135913409898e-32 1.007608726029902e-32 26924
21 3.094267251270836e-32 1.119117488322341e-32 25656
21.25 2.369939185564695e-32 1.111669600950423e-32 23228
21.5 2.895946540746437e-32 1.059663887335611e-32 21816
21.75 2.046123059414155e-32 8.672759648857768e-33 19472
22 1.979191342621802e-32 8.818225113499835e-33 17696
22.25 2.45614368029639e-32 7.586144697550702e-33 15588
22.5 2.179860228815263e-32 5.475187909398265e-33 13760
22.75 1.349744883257136e-32 4.692777062059145e-33 11565
23 1.059899323840891e-32 3.76358106481488e-33 10016
23.25 9.309825433675835e-33 3.500629436316359e-33 8652
23.5 8.297759004946543e-33 3.195849886402315e-33 7652
